window,miu,be,sig,a,q,LogL
172,0.496948316,0.901315012,0.207442826,1.403196726,2.832307515,-9198.256308
173,0.086768992,0.954640565,0.174099781,1.397913169,1.850144693,-9230.893213
174,0.206963452,0.791996027,0.416543855,1.652490278,1.959416001,-9243.920285
175,0.020991232,0.972022117,0.189489004,1.418177639,1.876118254,-9227.549725
176,-0.062183936,0.899738268,0.355611405,1.661781877,2.147736156,-9305.994514
177,0.053004991,0.900695295,0.283072995,1.396839885,1.916330706,-9287.277492
178,-0.121020439,0.94114087,0.292435294,1.480082547,1.931996415,-9273.000236
179,0.099827829,0.980460179,0.15033354,1.610078238,1.974426594,-9262.063163
180,-0.153830898,0.957520732,0.214253951,1.481149095,1.934984753,-9245.108153
181,0.274697396,0.927476286,0.233426568,1.507923394,2.083211618,-9188.809121
182,0.235881128,0.899713617,0.385841413,1.480720086,2.850424773,-9264.536703
183,0.052349272,0.920346106,0.276680073,1.431404344,1.960414635,-9247.780574
184,0.013880937,0.896403488,0.319741507,1.541926152,1.904766493,-9259.174701
185,-0.003152735,0.899887129,0.200057313,1.402388289,1.9000948,-9360.250609
186,-0.178813978,0.96421935,0.220420141,1.458598648,2.125772939,-9241.814821
187,0.317817741,0.900127247,0.199951384,1.399639629,1.899595381,-9221.378763
188,0.02566631,0.900076296,0.291899954,1.399924541,1.900026196,-9295.764
189,-0.019339248,0.963603623,0.201275203,1.535782574,1.950772346,-9224.323229
190,0.016470108,0.897819176,0.318347104,1.403853621,1.899609197,-9309.567773
191,0.952497142,0.900025757,0.199916062,1.399338287,2.206089114,-9343.356452
192,0.118179989,0.946961601,0.287217129,1.488532848,1.973697697,-9251.595561
193,-0.014963158,0.899622427,0.276364965,1.400165648,1.900725237,-9309.587022
194,0.027194041,0.900015178,0.325130112,1.399763893,2.172305964,-9275.088026
195,0.024263402,0.907949854,0.307880979,1.436310971,1.901402055,-9274.23126
196,0.127308998,0.900096622,0.37890483,1.474111726,2.115317236,-9275.617097
197,-0.006890905,0.871176868,0.391897502,1.488510763,1.911982573,-9310.239451
198,0.148170116,0.917151622,0.204119038,1.420684963,1.900646787,-9242.133209
199,-0.102717385,0.874906214,0.362331012,1.653210674,2.207411615,-9321.106271
200,0.039430309,0.833585367,0.458120638,1.672134318,1.987867371,-9295.628473
201,0.147432161,0.900145554,0.334144672,1.619201643,2.211379572,-9249.062199
202,-0.002748639,0.86315021,0.424272973,1.593370394,1.952928479,-9302.693077
203,-0.033059284,0.963072281,0.254218111,1.398336286,2.090696613,-9261.094024
204,0.151056308,0.939307657,0.274893249,1.444260381,1.837829195,-9249.584662
205,-0.038512982,0.926269483,0.2376774,1.422508438,1.90834164,-9267.379031
206,0.059526372,0.914398261,0.299895534,1.474344914,1.938504462,-9245.22011
207,0.318626973,0.900528719,0.197262768,1.398946566,1.897175785,-9220.118012
208,0.958941367,0.900089229,0.325717802,1.401441676,1.896219847,-9306.64259
209,-0.013614553,0.901781989,0.339810548,1.490607069,1.878484115,-9285.507422
210,0.771664871,0.9762109,0.128250367,1.415433933,2.297721176,-9207.571491
211,0.095239404,0.895966131,0.292506957,1.46212299,1.914549761,-9244.012343
212,0.093799258,0.899371401,0.270098095,1.400544293,1.900114439,-9270.427425
213,-0.049438943,0.898261631,0.328817946,1.541158289,1.912673184,-9273.670397
214,0.254098337,0.903730004,0.230769071,1.6662294,2.00402847,-9240.614064
215,0.354109892,0.875198543,0.297848265,1.437986393,2.199503894,-9192.501713
216,0.080513591,0.881159781,0.326140477,1.473103795,1.788145925,-9270.728374
217,-0.025626857,0.897736202,0.275434859,1.401417017,1.898670469,-9312.396939
218,0.206775385,0.900676534,0.198574494,1.692197789,2.087365097,-9311.264639
219,0.023080342,0.888697328,0.423649145,1.523982891,2.033491976,-9312.878934
220,0.076879794,0.905580116,0.204622103,1.618614192,1.899173004,-9275.904445
221,-0.009881966,0.898690448,0.306925038,1.399964002,1.931759917,-9306.239511
222,0.153339325,0.897041337,0.29289784,1.396512061,1.897320977,-9259.543221
223,-0.012292542,0.938606412,0.187211758,1.654516958,2.101255842,-9302.137
224,0.042254722,0.924739512,0.214258223,1.359889616,2.072345733,-9265.763827
225,0.016707108,0.882165472,0.372790399,1.494227619,1.974666822,-9289.50213
226,-0.049193084,0.951262904,0.213941975,1.443627389,1.912861993,-9237.050994
227,0.012347663,0.907955255,0.247544845,1.652761416,2.216623149,-9293.949212
228,0.001526526,0.95926265,0.179329361,1.459162975,1.828469096,-9220.137255
229,0.142664949,0.917722329,0.228383102,1.604865418,2.038930245,-9232.762608
230,0.05451294,0.899800772,0.444157076,1.701605657,1.899772898,-9343.666443
231,-0.15500139,0.984676601,0.140593082,1.305504531,2.926316293,-9228.324993
232,-0.06592293,0.952056789,0.268232223,1.538444107,2.08502488,-9256.946385
233,0.271442903,0.872751838,0.252719885,1.52046846,1.752035837,-9215.119481
234,0.027553861,0.899995108,0.291991688,1.399953016,1.967063118,-9287.220453
235,0.22046078,0.804580388,0.36898481,1.410016434,1.862144229,-9298.186936
236,0.01514058,0.905122019,0.26889687,1.610970432,1.974710088,-9259.277384
237,0.258751303,0.722172236,0.529673443,1.585009134,1.964347853,-9269.91241
238,0.015989733,0.949393503,0.250656834,1.599211712,1.909514785,-9241.647983
239,-0.010263607,0.899770722,0.397955078,1.585374857,1.902694512,-9303.101084
240,0.367373864,0.895896362,0.213673357,1.513321962,2.076306792,-9193.785489
241,0.071428932,0.900005616,0.279237933,1.399912645,2.115492483,-9262.682053
242,0.228007915,0.894461456,0.236214659,1.648370249,1.902659114,-9236.102499
243,0.259158842,0.899924424,0.199992003,1.441595999,1.943919593,-9217.009656
244,-0.00825837,0.946164552,0.252189989,1.430122707,1.938191772,-9252.781414
245,0.143322466,0.772978444,0.417861078,1.471227729,3.535494011,-9260.931463
246,-0.023441534,0.947172753,0.249312664,1.403152529,1.855890247,-9267.443983
247,0.124474822,0.899711546,0.447256174,1.735514039,1.979312117,-9348.822451
248,-0.085449908,0.944072688,0.259488709,1.643848049,2.018505357,-9278.186019
249,0.599900605,0.917633015,0.190513656,1.38492223,2.175323093,-9188.620886
250,0.235110247,0.859869824,0.30075905,1.471539013,2.087039265,-9209.974606
251,0.029271685,0.873409573,0.321879177,1.539987726,1.902233617,-9267.19694
252,0.441988638,0.879819491,0.264161512,1.347398144,4.319849054,-9202.175022
253,0.081947808,0.927026697,0.251477972,1.484725446,1.939076524,-9222.88109
254,-0.089008503,0.889025537,0.368307077,1.419054476,2.168857742,-9325.49186
255,0.155923928,0.900041455,0.390022495,1.628159405,2.137346705,-9283.780794
256,-0.075359905,0.90089897,0.303597806,1.489745653,1.943089329,-9284.023988
257,-0.00897184,0.900003485,0.308829874,1.588077181,1.899926417,-9256.528566
258,0.079225493,0.903358738,0.287966975,1.420177643,1.895601913,-9260.768137
259,-0.008029011,0.900002202,0.29854819,1.39996574,1.899953505,-9309.321475
260,0.324876364,0.88515301,0.306814335,1.396884375,1.898033532,-9237.971014
261,0.093129641,0.898538287,0.299354932,1.536705054,1.907922282,-9230.24926
262,0.177346583,0.918699071,0.285251249,1.420578839,1.88081888,-9239.754176
263,0.382318098,0.932253739,0.209698657,1.403895463,3.015556512,-9181.78198
264,0.125967303,0.90008969,0.326985988,1.59894262,1.903072275,-9240.475072
265,0.008367379,0.913143121,0.283849293,1.51327299,1.903454052,-9242.874619
266,0.466118559,0.854787365,0.285749359,1.455895357,1.847868317,-9196.431564
267,0.006239366,0.898807374,0.286253475,1.407053554,1.901326392,-9291.609361
268,0.099826877,0.910740133,0.267717605,1.400223424,1.978536758,-9248.673114
269,0.119332987,0.899711954,0.200081937,1.594399511,1.899238081,-9260.374291
270,0.076991913,0.97648421,0.151745517,1.502536891,1.887254025,-9200.160244
271,0.035907919,0.954080744,0.21096602,1.43316441,1.878333416,-9216.011092
272,0.024029827,0.899907279,0.362694983,1.399866784,1.899869922,-9326.473201
273,0.084738179,0.899783794,0.390440486,1.651916373,1.899986837,-9274.708012
274,0.040511709,0.902857618,0.299373361,1.41966183,1.957040444,-9266.320569
275,0.270166662,0.900014295,0.286142193,1.792953186,1.899698209,-9286.782171
276,0.194429819,0.983227039,0.194679027,1.518330406,2.018502768,-9228.604068
277,0.047853683,0.901199035,0.330579529,1.556973097,2.051054332,-9243.771631
278,0.351828299,0.841942426,0.366705765,1.358392877,2.102015698,-9261.546239
279,-0.19924907,0.900009726,0.339076159,1.518843271,1.970472686,-9311.085978
280,0.086665556,0.898521408,0.270606105,1.399429414,1.900087158,-9266.344725
281,0.168518453,0.900123979,0.411356343,1.399689678,2.03457857,-9331.756171
282,0.294085879,0.900027181,0.199939581,1.399577086,2.855778972,-9189.280032
283,-0.022118054,0.900004325,0.308143497,1.460365064,2.065672803,-9257.556344
284,0.446379127,0.882053653,0.276000631,1.395134527,2.018634225,-9192.193628
285,0.005225968,0.933348113,0.221895677,1.409094994,1.902995321,-9244.445485
286,-0.109240341,0.985642815,0.15182415,1.503754036,1.746189764,-9211.769673
287,0.104062745,0.912411731,0.284640305,1.367586675,1.895240139,-9272.872862
288,-0.070606243,0.898629981,0.336853355,1.456733044,1.900352252,-9293.326645
289,0.063348131,0.899334983,0.304835376,1.610570147,1.978357443,-9226.292075
290,-0.00278641,0.963810881,0.212002499,1.386930929,1.919143594,-9234.085144
291,0.136405375,0.901137913,0.267186703,1.536873029,2.225811294,-9199.968871
292,0.451243783,0.900028864,0.228174606,1.446509789,1.906882319,-9166.918822
293,0.523468106,0.942535814,0.179161068,1.35275563,2.098618679,-9176.82961
294,0.031030585,0.916395986,0.314390078,1.651180689,1.878396249,-9244.683769
295,0.333501995,0.900005872,0.199983414,1.45989697,1.899842854,-9177.315271
296,0.140122013,0.896096484,0.417777819,1.540587246,1.902014374,-9286.987062
297,0.040528045,0.899616908,0.305815442,1.408464641,1.910299971,-9273.934497
298,0.157572587,0.893321092,0.380241299,1.498579699,2.007818251,-9252.961794
299,0.046993784,0.891916332,0.283013929,1.421920944,1.909813153,-9264.312763
300,0.068194003,0.905749814,0.30573322,1.399128851,1.909602158,-9268.81917
301,-0.047186389,0.945260544,0.216774809,1.470965445,2.209114955,-9209.786285
302,0.583956056,0.877309333,0.345486445,1.694323183,1.971405859,-9231.558299
303,0.173722208,0.918713138,0.225349102,1.575413168,1.914409103,-9184.41802
304,0.015363978,0.957583989,0.253846455,1.549212695,1.979005224,-9220.600701
305,0.027984408,0.963712728,0.146761732,1.391912161,1.881081325,-9214.317898
306,0.455920886,0.923204169,0.191567652,1.322746989,2.13116043,-9186.851536
307,-0.042894546,0.915355766,0.314207128,1.409777892,1.956218954,-9278.371818
308,-0.022740733,0.926737568,0.228565441,1.43241236,2.01350105,-9237.042647
309,0.283067936,0.922708881,0.203658626,1.655808048,1.919814428,-9203.11441
310,-0.167625772,0.976124568,0.206826902,1.476782823,1.977509787,-9216.637538
311,0.207442968,0.913054625,0.244707558,1.579624284,1.919180075,-9178.860436
312,0.070554637,0.948599015,0.232646938,1.397394801,1.91023112,-9219.627581
313,0.3147878,0.838917968,0.355597196,1.690003715,1.883092186,-9203.053548
314,0.014421272,0.900624841,0.282804729,1.424503484,1.903936138,-9263.618909
315,-0.029775459,0.955897064,0.185650942,1.646916497,2.076939884,-9257.868628
316,0.01061658,0.928271208,0.241447808,1.503973262,1.960254556,-9211.348207
317,0.108999901,0.894786033,0.234346666,1.688835252,1.858529072,-9255.430032
318,-0.184047334,0.926980286,0.32685658,1.537720428,2.155477118,-9270.873519
319,0.164411779,0.905093298,0.278692971,1.372513102,1.942761524,-9243.163104
320,0.882360072,0.912528384,0.241241403,1.333898415,2.278744261,-9243.936768
321,0.051704278,0.945476592,0.190470033,1.494190507,1.958562994,-9193.619572
322,0.770122962,0.92790733,0.240659589,1.385976989,2.495035542,-9192.032839
323,-0.028087427,0.899765722,0.289782097,1.400604832,1.899070462,-9289.264314
324,0.19083103,0.900554812,0.373911339,1.426027487,1.891144016,-9279.984192
325,0.638889336,0.925957825,0.238305503,1.472331076,2.487852993,-9179.822949
326,0.168495394,0.885746438,0.295649523,1.572746945,2.121673075,-9199.493736
327,0.192847504,0.89525567,0.347469476,1.432524384,1.994756531,-9240.285187
328,0.007183408,0.948853878,0.157745824,1.375050912,1.918619232,-9247.163913
329,-0.012556591,0.899990735,0.297301689,1.400958636,1.899753072,-9288.598602
330,0.271545076,0.769448991,0.378735679,1.489168141,2.06191182,-9211.613063
331,0.028381886,0.90000264,0.318287342,1.399958932,1.954432791,-9277.740336
332,-0.071910473,0.957905183,0.251803986,1.490950695,1.868434804,-9222.123465
333,0.029088164,0.900001274,0.287844955,1.39998018,1.922064762,-9270.389612
334,-0.011668425,0.900051123,0.291563137,1.418914048,1.899973272,-9273.321891
335,0.10600059,0.900007326,0.429472647,1.564848826,1.899829685,-9297.250303
336,0.095601619,0.91333998,0.341625324,1.551304402,1.999973196,-9235.639136
337,0.242669839,0.936358965,0.187429654,1.482528455,2.196082871,-9167.590789
338,0.158284151,0.989983534,0.099638784,1.493566566,2.014473316,-9206.85541
339,0.240501588,0.861482811,0.352889915,1.366060377,1.991238817,-9270.231331
340,0.18164245,0.878066429,0.324847251,1.405875611,1.900906362,-9247.477975
341,0.041437611,0.900005565,0.296821403,1.523305835,1.899925253,-9223.740461
342,0.362988438,0.89973501,0.229640081,1.609297704,2.087535311,-9189.273692
343,0.242246232,0.900007745,0.200169804,1.512378145,1.969559038,-9183.40529
344,0.02525927,0.899596347,0.286760572,1.400538171,1.957289792,-9261.587011
345,0.068136418,0.957150616,0.228199692,1.426384255,1.928084131,-9215.809608
346,0.05432432,0.899842087,0.317491902,1.400683159,1.900152751,-9277.171201
347,0.161906509,0.923137917,0.281009136,1.430633164,2.006310379,-9211.226019
348,-0.059660836,0.948300128,0.243255996,1.502917582,2.018729464,-9217.2762
349,0.05630664,0.945637035,0.225217429,1.379514604,1.895818327,-9231.252145
350,0.313173663,0.894941819,0.206321583,1.571816245,2.027368791,-9190.01888
351,-0.030659276,0.917288745,0.242031749,1.420668836,1.927884897,-9253.306741
352,0.507565617,0.898888014,0.19959149,1.398727641,1.899825671,-9167.237918
353,-0.005230296,0.885786296,0.295613517,1.609565793,1.894945365,-9235.372921
354,-0.075151529,0.900592739,0.200488389,1.47578706,2.039636074,-9324.668243
355,0.015232166,0.939198765,0.285937207,1.396178347,1.953168675,-9250.599289
