Index,ObsDur,TSCD,fTaR_0.5,fTaR_0.25,fTaR_0.1,fTaR_0.05,fTaR_0.025,fTaR_0.01
3021,2.956011128,1.595902985,1.438450036,2.73160827,4.500653504,5.851141261,7.19938523,8.97051883
3022,5.363636078,1.812520095,1.686128823,3.229397367,5.445819333,7.198930737,8.989267408,11.38953533
3023,0.31714183,2.002189657,1.324567358,2.855642413,5.165305092,7.031920686,8.959202379,11.56577596
3024,0.844648202,2.086462889,1.349207251,2.561274139,4.180454061,5.3961741,6.597399209,8.16112365
3025,4.856441193,1.864408181,1.246425372,2.491443684,4.214386014,5.542229896,6.879009807,8.650833506
3026,0.184560697,1.903605575,1.203039147,2.309241748,3.799690898,4.923951401,6.038080769,7.491715962
3027,0.161203647,2.122304869,1.518192205,2.898114783,4.741465352,6.130816206,7.509796256,9.314035987
3028,1.528416954,1.900105378,0.976294315,1.898491095,3.160549129,4.120412275,5.075553158,6.325642798
3029,0.645442933,1.867827592,1.058832267,2.12325103,3.609094277,4.751577736,5.895709095,7.401086429
3030,1.88517797,1.910480482,1.214374237,2.535292826,4.395978412,5.824472241,7.249985348,9.117699489
3031,1.186982637,1.827219281,1.188406308,2.365649581,4.036645316,5.332493726,6.634712068,8.351730042
3032,0.093265609,1.781411471,1.08623996,2.284865213,4.064239007,5.474484919,6.906185888,8.807467781
3033,0.766293805,1.738735911,0.731949225,1.338568429,2.150834735,2.764413557,3.373791092,4.170910435
3034,2.83097384,1.422194586,0.811029877,1.555878591,2.557393984,3.31214488,4.059718035,5.035033406
3035,0.643410966,1.77508275,1.279969141,2.475616898,4.104773619,5.340261812,6.567429305,8.170651623
3036,0.665438693,1.45797821,0.925002872,1.863807622,3.311227426,4.495442189,5.721219122,7.374992753
3037,1.65860268,1.58765174,0.999993629,1.915557863,3.152529833,4.087763372,5.01581759,6.228199956
3038,3.879835481,1.692878403,1.003874744,2.12719205,3.728681802,4.973361408,6.227470169,7.887002562
3039,0.530258059,1.79696024,1.256450009,2.36857992,3.851920014,4.966070128,6.067806008,7.504373521
3040,0.808861296,1.652280282,1.262831785,2.502126898,4.222856478,5.540780907,6.856560618,8.616385124
3041,0.103869577,1.843525627,1.392619653,2.67924233,4.417377538,5.730471748,7.032591071,8.732227805
3042,1.719716393,1.466952117,1.03187521,1.978647941,3.253669163,4.215431834,5.168570983,6.412303965
3043,0.821354283,1.660274404,1.016265901,1.924934024,3.107148301,3.981042568,4.83734383,5.944280552
3044,5.299309128,1.513787589,0.857046124,1.722651688,2.968864701,3.943280248,4.926703805,6.227814263
3045,1.397456319,2.285670066,1.721527487,3.225839498,5.194987999,6.658925408,8.09914227,9.968203054
3046,4.231370735,2.119128421,1.243566431,2.494614744,4.25030121,5.606165005,6.967917926,8.765075051
3047,0.098976622,1.850608147,1.179857233,2.283883598,3.783097959,4.919328508,6.04869565,7.525848568
3048,1.460186068,2.009656925,1.00428816,1.971046273,3.31125426,4.33774298,5.36301847,6.708717097
3049,5.974979706,1.953501586,1.250007236,2.257458182,3.61952934,4.658801641,5.698696355,7.068904458
3050,1.320420739,2.86327376,1.580202048,3.058613333,5.074512613,6.60566642,8.128587162,10.12158549
3051,1.222023698,2.440200536,1.224441817,2.348267095,3.860751936,5.001336261,6.131618597,7.606611812
3052,1.294690901,2.574386725,1.570573034,3.010294562,4.944583203,6.401554195,7.844550058,9.726489862
3053,1.281252454,1.9341114,1.382077722,2.835700697,5.018627015,6.768025824,8.557150423,10.94777017
3054,2.142613146,1.817306366,1.281551244,2.667470317,4.645566561,6.189494555,7.751153643,9.825870774
3055,1.458410001,1.929592788,1.415012335,2.727893166,4.519754594,5.884256968,7.2446959,9.029957458
3056,3.507534402,2.103398837,1.131852093,2.171315906,3.572655127,4.630353486,5.67911755,7.048071657
3057,0.399703352,1.915648047,1.925668385,3.389570935,5.198484149,6.504839951,7.771672278,9.397496899
3058,0.089894947,1.961771188,1.112799811,2.306744964,4.041870615,5.405811346,6.78747404,8.621796428
3059,0.100067839,1.653048148,0.858579726,1.658506132,2.759761202,3.601966718,4.443279917,5.548665398
3060,0.61476209,1.708136478,0.680936966,1.339484313,2.254952947,2.95702964,3.658825524,4.580451884
3061,2.38385046,1.025287914,0.620072301,1.254356133,2.178008589,2.904982156,3.641275676,4.618031969
3062,0.609856836,1.577043032,0.955038594,1.836722617,3.025988858,3.923780258,4.813760715,5.975534574
3063,0.216713232,1.608092975,0.963677943,1.88779405,3.164594861,4.140732466,5.114773654,6.392335604
3064,0.118027316,1.089159478,0.772604245,1.440528987,2.309911221,2.95390393,3.586108056,4.404975148
3065,1.063747366,1.099442679,0.802801093,1.532628118,2.516989313,3.259841987,3.995937425,4.956080296
3066,0.486590908,1.176529463,0.747212741,1.521692783,2.66202623,3.570605068,4.500058539,5.746021625
3067,0.620323597,1.091601613,0.889331456,1.706887607,2.80873461,3.64018343,4.464279914,5.539697284
3068,0.875382757,0.962188247,0.823784398,1.649742444,2.806354832,3.699240037,4.596110715,5.780203332
3069,1.367535803,1.174298389,0.86865173,1.660520392,2.720503105,3.517521559,4.306211832,5.334164843
3070,0.632813268,1.2290481,0.952794684,1.824192718,2.991164909,3.869374753,4.739206338,5.873874583
3071,4.520213067,1.274992209,0.834401734,1.652137193,2.793501197,3.67654283,4.566227567,5.745707611
3072,0.98133297,1.578529717,1.008782723,2.111912901,3.686711133,4.91747117,6.16406161,7.823343471
