Parameter,miu,be,sig,a,p,q,LogL,AIC,BIC
Estimate,0.510353231,0.92355458,0.193976898,0.670847821,2.578025489,24.75780255,-9207.953689,18427.90738,18468.30798
Estimate,0.59419528,0.918165301,0.190649543,0.674965725,2.781158035,25.0781158,-9196.778286,18405.55657,18445.95717
Estimate,0.597954865,0.92564619,0.203901146,0.686339159,2.779352392,24.97793524,-9228.249718,18468.49944,18508.90003
Estimate,0.604123418,0.936833093,0.190121108,0.662579919,2.778538486,24.97785385,-9214.13244,18440.26488,18480.66548
Estimate,0.606870991,0.931742832,0.192807289,0.650731366,2.685150169,24.96851502,-9198.957565,18409.91513,18450.31573
Estimate,0.600481307,0.932082887,0.190391199,0.624526928,2.785253741,24.77852537,-9207.4889,18426.9778,18467.3784
Estimate,0.617273494,0.897652528,0.198532856,0.647312413,2.776732528,24.77767325,-9193.882115,18399.76423,18440.16483
Estimate,0.56022363,0.922711228,0.199817513,0.623892058,2.782216352,25.17822164,-9219.867589,18451.73518,18492.13578
Estimate,0.656997243,0.931550256,0.199709654,0.60198655,2.77986056,25.17798606,-9225.064356,18462.12871,18502.52931
Estimate,0.749399888,0.918987045,0.197650364,0.652974226,2.781936115,24.97819361,-9206.638362,18425.27672,18465.67732
Estimate,0.528326023,0.924585845,0.193467488,0.648950213,2.579822981,24.9579823,-9219.825981,18451.65196,18492.05256
Estimate,0.287354784,0.934621973,0.190490279,0.677185757,2.781199522,25.17811995,-9201.289953,18414.57991,18454.9805
Estimate,0.422142011,0.8955568,0.19730348,0.634987764,2.679660224,24.96796602,-9195.410452,18402.8209,18443.2215
Estimate,0.619470707,0.892806298,0.19872659,0.624882885,2.78058018,24.97805802,-9209.367357,18430.73471,18471.13531
Estimate,0.598790027,0.92570939,0.191526496,0.673636176,2.782332304,24.97823323,-9197.2976,18406.5952,18446.9958
Estimate,0.503236405,0.901726317,0.198911,0.646075183,2.698746223,25.06987462,-9185.587458,18383.17492,18423.57551
Estimate,0.662057392,0.930600258,0.196469663,0.709447435,2.779958029,25.0779958,-9227.300073,18466.60015,18507.00074
