Parameter,miu,be,sig,lam,del,w,LogL,AIC,BIC
Estimate,0.614998668,0.942848618,0.180158552,0.073462713,1.098613777,0.180679189,-9102.496578,18216.99316,18257.39375
Estimate,0.462346953,0.980281783,0.066265608,-0.087836273,1.040146992,0.18949812,-9146.64131,18305.28262,18345.68322
Estimate,0.512895318,1.029956687,0.1400013,-0.026919507,1.13504635,0.176716365,-9126.843801,18265.6876,18306.0882
Estimate,0.669661353,0.942464901,0.107259435,0.290974575,1.023367182,0.143823823,-9160.58233,18333.16466,18373.56526
Estimate,0.617826799,0.948729188,0.148759141,0.033052342,1.10016965,0.204377441,-9108.940176,18229.88035,18270.28095
Estimate,0.573747583,0.959883383,0.10511219,-0.014611819,1.109910646,0.199953416,-9111.875122,18235.75024,18276.15084
Estimate,0.611372456,0.949127149,0.156432772,-0.081244888,1.117044242,0.154476424,-9142.016013,18296.03203,18336.43262
Estimate,0.709733599,0.994544043,0.102685645,-0.120338293,1.065399598,0.211813199,-9148.951135,18309.90227,18350.30287
Estimate,0.903183703,1.043590247,0.214421324,0.032046319,1.162545686,0.106521809,-9117.53907,18247.07814,18287.47874
Estimate,1.322621728,1.05,0.036900855,0.400456201,1.065380354,0.056238759,-9137.152488,18286.30498,18326.70557
Estimate,0.599292985,0.960010283,0.040260085,0.130288888,1.109972451,0.150682737,-9121.168858,18254.33772,18294.73831
Estimate,0.652773376,0.95465242,0.124931029,0.015099609,1.093715783,0.13549419,-9117.437092,18246.87418,18287.27478
Estimate,0.619576546,0.899369031,0.123636453,0.005894145,1.033233215,0.244492529,-9102.551028,18217.10206,18257.50265
Estimate,0.893085279,0.983075174,0.018003702,-0.126192057,0.980191352,0.296654787,-9166.538951,18345.0779,18385.4785
Estimate,0.919931141,0.950005537,0.192841613,-0.14626605,1.109933555,0.259353914,-9183.54234,18379.08468,18419.48528
Estimate,0.624588236,0.958308827,0.191609236,-0.077020555,1.086736744,0.311538581,-9157.565851,18327.1317,18367.5323
Estimate,0.651832366,0.988859631,0.086906878,0.057045108,1.093233775,0.217853442,-9128.97763,18269.95526,18310.35586
Estimate,0.966898944,1.029855728,0.140311414,0.185299311,1.333040203,0.049655552,-9152.444928,18316.88986,18357.29045
Estimate,0.599105665,0.950002449,0.139994246,-0.07202794,1.109991738,0.149985156,-9133.279301,18278.5586,18318.9592
Estimate,0.502197562,0.960000646,0.039998565,-0.033339223,1.11948701,0.154830607,-9167.250266,18346.50053,18386.90113
Estimate,0.601091942,0.949689943,0.140061164,0.026659437,1.110158089,0.199863423,-9105.679504,18223.35901,18263.75961
Estimate,0.562650059,0.952480687,0.132707365,0.024982574,1.129620821,0.201825042,-9118.936258,18249.87252,18290.27311
Estimate,0.396725788,0.988372552,0.083352879,-0.000903846,1.137050072,0.08009905,-9167.391031,18346.78206,18387.18266
Estimate,0.717780581,0.951293374,0.040997773,-0.130935282,1.110483661,0.200328027,-9180.518563,18373.03713,18413.43772
Estimate,0.605780138,0.960001301,0.126582078,0.101321409,1.170067853,0.1504562,-9112.846807,18237.69361,18278.09421
Estimate,0.742508736,1.017348218,0.168728687,-0.099812965,1.088499268,0.309258956,-9150.101129,18312.20226,18352.60286
Estimate,0.794082543,0.915330045,0.100341513,0.141830751,0.933027752,0.337665905,-9101.359383,18214.71877,18255.11936
Estimate,0.601243458,0.948720621,0.138830364,-0.051279537,1.118484208,0.175370628,-9119.377411,18250.75482,18291.15542
Estimate,0.593276339,0.951994508,0.116695256,0.033576051,1.116282109,0.149888383,-9106.103797,18224.20759,18264.60819
Estimate,0.589193205,0.959977398,0.114381693,0.067097564,1.147014843,0.23956595,-9150.441641,18312.88328,18353.28388
Estimate,0.541925404,1.030370085,0.034701905,0.072772001,1.109544178,0.049244285,-9180.764787,18373.52957,18413.93017
Estimate,0.746686761,0.949481497,0.139482489,-0.061585792,1.110015284,0.149626622,-9130.738769,18273.47754,18313.87814
Estimate,0.572992987,0.960340988,0.208242531,0.074537118,1.110600213,0.288963053,-9159.955031,18331.91006,18372.31066
Estimate,0.600571721,0.959997228,0.040018546,0.11267872,1.109992047,0.172626256,-9131.280776,18274.56155,18314.96215
Estimate,0.682129533,1.029889951,0.223924878,-0.10746367,1.009912342,0.498870856,-9144.829028,18301.65806,18342.05865
Estimate,0.568937387,1.035870255,0.078547952,0.072486765,1.135926173,0.140746251,-9101.27675,18214.5535,18254.9541
Estimate,0.576835708,0.959957417,0.040008984,0.119437969,1.110014662,0.157724248,-9124.457197,18260.91439,18301.31499
Estimate,0.492495329,0.960005737,0.122560764,-0.027612424,1.10996889,0.149994619,-9129.444725,18270.88945,18311.29005
Estimate,0.570567562,0.936968452,0.12529276,-0.056288861,1.12160025,0.182836252,-9118.130963,18248.26193,18288.66252
Estimate,0.487972569,0.989435299,0.054206343,0.03351709,1.181734798,0.161445087,-9175.451182,18362.90236,18403.30296
Estimate,0.669148531,0.984260506,0.153594062,-0.078706693,1.048104268,0.329344307,-9163.367981,18338.73596,18379.13656
Estimate,0.523389547,0.983484905,0.089453014,-0.044048459,1.165495399,0.177873602,-9156.33065,18324.6613,18365.0619
Estimate,0.468113015,1.001435889,0.035167973,-0.097799896,1.120275701,0.171787194,-9178.682233,18369.36447,18409.76506
