"miu","be","sig","a","LogL","AIC","BIC"
0.472485218,0.962702027,0.2008804,0.43903559,-9295.389595,18598.77919,18625.71292
0.565957872,0.906670442,0.321642603,0.478725161,-9295.478022,18598.95604,18625.88978
0.569318366,0.830284241,0.314415637,0.496255369,-9295.482563,18598.96513,18625.89886
0.319983628,0.74822597,0.563262624,0.709314469,-9295.66211,18599.32422,18626.25795
0.609397207,0.832506937,0.395244217,0.531234157,-9295.72412,18599.44824,18626.38197
0.333842957,0.926066743,0.278205141,0.38777226,-9295.817734,18599.63547,18626.5692
0.475841659,0.960625025,0.163124142,0.361466152,-9295.897276,18599.79455,18626.72828
0.637320119,0.954567281,0.216195332,0.461212868,-9296.178079,18600.35616,18627.28989
0.644783791,0.933295619,0.235496982,0.395390321,-9296.239306,18600.47861,18627.41234
0.53198468,0.916866686,0.210261056,0.488159841,-9296.396979,18600.79396,18627.72769
0.450721727,0.947251397,0.2516645,0.389891483,-9297.29677,18602.59354,18629.52727
0.719952924,0.9424783,0.217456623,0.435661277,-9297.40903,18602.81806,18629.75179
0.665755034,0.925385921,0.285175878,0.474315669,-9297.713963,18603.42793,18630.36166
0.263598478,0.579516321,0.629212616,0.648082351,-9297.847076,18603.69415,18630.62788
0.306791819,0.778471695,0.543495774,0.644765164,-9297.884856,18603.76971,18630.70344
0.291642449,0.904046795,0.287029513,0.597512056,-9298.258947,18604.51789,18631.45162
0.661758829,0.884082954,0.280116834,0.434540762,-9298.551526,18605.10305,18632.03678
0.749163607,0.940748717,0.234396682,0.422793874,-9298.597681,18605.19536,18632.12909
0.674633397,0.921927934,0.2486,0.530517736,-9299.322773,18606.64555,18633.57928
0.616297775,0.904988489,0.230853658,0.477453149,-9299.349124,18606.69825,18633.63198
0.269139351,0.686206071,0.507832507,0.733424717,-9299.423255,18606.84651,18633.78024
0.415629474,0.766025792,0.402705194,0.44130647,-9299.850875,18607.70175,18634.63548
0.458732266,0.858611766,0.421474824,0.504607158,-9299.879982,18607.75996,18634.6937
0.696854744,0.90836021,0.26638652,0.475372026,-9300.02793,18608.05586,18634.98959
