Parameter,miu,be,sig,a,p,LogL,AIC,BIC
Estimate,0.594663612,0.919823731,0.229614129,0.334813077,5.487729723,-9194.559046,18399.11809,18432.78526
Estimate,0.624381782,0.95102463,0.166845642,0.34728632,5.501803761,-9202.359313,18414.71863,18448.38579
Estimate,0.647404899,0.97317051,0.118634421,0.306990596,5.579353739,-9214.691133,18439.38227,18473.04943
Estimate,0.556234202,0.971602673,0.124827041,0.320453586,5.505472552,-9208.199591,18426.39918,18460.06635
Estimate,0.549049513,0.964964789,0.128475379,0.301676223,5.521161568,-9200.972651,18411.9453,18445.61247
Estimate,0.404019577,0.965825382,0.107387238,0.307734365,5.978226746,-9212.967669,18435.93534,18469.6025
Estimate,0.644576114,0.968076858,0.120579958,0.316733308,5.521600496,-9201.917859,18413.83572,18447.50288
Estimate,0.608984318,0.96168172,0.131936751,0.326495999,5.494799793,-9202.156467,18414.31293,18447.9801
Estimate,0.644080106,0.965289721,0.129242886,0.337275414,5.493499047,-9209.504055,18429.00811,18462.67527
Estimate,0.641401032,0.933166784,0.233513186,0.354362027,5.452800199,-9209.219885,18428.43977,18462.10693
Estimate,0.533938381,0.96935565,0.15216147,0.350667083,5.504653119,-9211.12852,18432.25704,18465.9242
Estimate,0.459576641,0.971408982,0.099766138,0.318684304,5.543289371,-9209.806857,18429.61371,18463.28088
Estimate,0.573594807,0.921697342,0.232852362,0.334201288,5.562315303,-9194.39104,18398.78208,18432.44925
Estimate,0.68645913,0.97039405,0.138210192,0.309795566,5.498379445,-9207.640608,18425.28122,18458.94838
Estimate,0.648417156,0.962520554,0.143299689,0.321861773,5.592301605,-9196.015515,18402.03103,18435.69819
Estimate,0.518974371,0.970668,0.161593646,0.30696776,5.5891534,-9212.936358,18435.87272,18469.53988
Estimate,0.567493836,0.971210022,0.117016353,0.301871727,6.181481615,-9207.824265,18425.64853,18459.31569
Estimate,0.664855822,0.969343347,0.169200832,0.324541812,5.641475097,-9202.438915,18414.87783,18448.54499
Estimate,0.42231303,0.972291229,0.11169368,0.272924257,6.408236066,-9206.401002,18422.802,18456.46917
Estimate,0.666680735,0.954562634,0.195873204,0.345356868,5.57540357,-9208.748015,18427.49603,18461.1632
Estimate,0.542020938,0.970006511,0.130214034,0.321091325,5.536839239,-9203.052525,18416.10505,18449.77222
Estimate,0.616599681,0.972809457,0.116615526,0.311864068,5.486655825,-9208.614381,18427.22876,18460.89593
Estimate,0.604135287,0.957042668,0.11704992,0.315436936,5.497035133,-9206.482199,18422.9644,18456.63156
