"miu","be","sig","a","q","LogL","AIC","BIC"
0.4133076,0.900011037,0.290540877,1.403708251,2.099431987,-9213.935898,18437.8718,18471.53896
0.543346256,0.837295554,0.34140873,1.504678264,2.112696911,-9214.214116,18438.42823,18472.0954
0.806809368,0.968102754,0.173989065,1.373688153,2.138475148,-9214.453808,18438.90762,18472.57478
0.807092457,0.977601664,0.167730592,1.438648638,2.094637311,-9214.670159,18439.34032,18473.00748
0.514878793,0.974650123,0.096779883,1.329216241,2.152063715,-9215.565459,18441.13092,18474.79808
0.82564122,0.964562139,0.153415406,1.436932816,2.130965624,-9215.748176,18441.49635,18475.16352
0.772035197,0.947524366,0.153621877,1.366937767,2.201447651,-9216.021641,18442.04328,18475.71045
0.65342004,0.923558372,0.262962278,1.493607676,2.018390333,-9216.781155,18443.56231,18477.22948
0.557929054,0.902811231,0.276936881,1.532335292,2.394602396,-9216.964602,18443.9292,18477.59637
0.753207482,0.960645929,0.154616454,1.344549124,1.999418157,-9217.188142,18444.37628,18478.04345
0.724472432,0.964828138,0.118008665,1.371120105,2.220955999,-9217.24647,18444.49294,18478.1601
0.577894893,0.97604978,0.118395312,1.313851055,2.162076187,-9217.712027,18445.42405,18479.09122
0.140203564,0.929046961,0.205131994,1.375119233,2.324082675,-9217.791383,18445.58277,18479.24993
0.811789568,0.963930019,0.183835354,1.374411287,2.295076477,-9218.431359,18446.86272,18480.52988
0.602670536,0.867110094,0.259064138,1.382369653,2.099354188,-9218.469533,18446.93907,18480.60623
0.611934889,0.883972822,0.2591543,1.499449439,2.311614158,-9218.512925,18447.02585,18480.69301
0.561549668,0.840875997,0.277916219,1.433935013,1.994799832,-9218.516663,18447.03333,18480.70049
0.748745141,0.944626274,0.223304797,1.482368286,2.219526107,-9218.697386,18447.39477,18481.06194
0.714097905,0.898940861,0.251441962,1.453404043,2.100687914,-9218.916505,18447.83301,18481.50017
0.71001619,0.90423743,0.23613192,1.449002182,2.184618633,-9219.011689,18448.02338,18481.69054
0.730244198,0.936684002,0.255624886,1.421238365,2.196307656,-9219.164905,18448.32981,18481.99697
0.683920309,0.928852305,0.173282717,1.34480111,2.093568379,-9219.187918,18448.37584,18482.043
0.630301327,0.879815557,0.31528349,1.447390218,2.084260776,-9219.382624,18448.76525,18482.43241
0.898991573,0.973826573,0.147960072,1.427472855,2.163782587,-9219.657422,18449.31484,18482.98201
0.725599086,0.984633054,0.109238091,1.363748194,2.024925487,-9219.667127,18449.33425,18483.00142
0.821952595,0.971812494,0.147746992,1.347946348,2.11831842,-9219.697127,18449.39425,18483.06142
0.777482129,0.958513575,0.139632764,1.344089285,2.363538854,-9220.282995,18450.56599,18484.23316
0.782307574,0.961856859,0.138538011,1.332693479,2.146008757,-9220.373427,18450.74685,18484.41402
0.581384161,0.867020685,0.276667256,1.330641613,2.665482479,-9220.398821,18450.79764,18484.46481
0.665452061,0.894809646,0.240112295,1.371812678,2.104249773,-9220.529164,18451.05833,18484.72549
0.842594875,0.97986002,0.147585822,1.35218486,2.179081441,-9221.343915,18452.68783,18486.35499
0.752284516,0.951404079,0.169650615,1.302264252,2.332694994,-9221.704128,18453.40826,18487.07542
0.705386151,0.97957692,0.106210628,1.329305853,2.147452066,-9221.829797,18453.65959,18487.32676
0.657809539,0.900010031,0.198306721,1.393300994,2.09976595,-9222.310821,18454.62164,18488.28881
0.825528079,0.976321783,0.135947007,1.327385507,2.206561713,-9222.447494,18454.89499,18488.56215
0.724803241,0.899365091,0.237932374,1.450766317,2.098722601,-9222.945972,18455.89194,18489.55911
0.465555844,0.963052058,0.125654756,1.31324553,2.023310938,-9222.986492,18455.97298,18489.64015
0.857831733,0.952337812,0.156193986,1.399861473,2.172785781,-9223.235104,18456.47021,18490.13737
