"Date","t","L.dur","x.use"
2025-09-29,34912,9,2.241315527588
2025-09-29,34913,1,0.248830237687336
2025-09-29,34914,1,0.248625614671846
2025-09-29,34915,1,0.248421189363189
2025-09-29,34918,3,0.74342729270872
2025-09-29,34922,4,0.987982921206898
2025-09-29,34925,3,0.739163291567397
2025-09-29,34933,8,1.95820081861684
2025-09-29,34941,8,1.94539872163348
2025-09-29,34942,1,0.242975674019212
2025-09-29,34961,19,4.54532713464803
2025-09-29,34962,1,0.23903237700494
2025-09-29,34967,5,1.19029178067176
2025-09-29,34977,10,2.36124303677665
2025-09-29,34985,8,1.87672306019349
2025-09-29,34988,3,0.702054576483071
2025-09-29,35000,12,2.78094989426576
2025-09-29,35001,1,0.231557637871904
2025-09-29,35004,3,0.692982475641074
2025-09-29,35009,5,1.15029308499486
2025-09-29,35025,16,3.63351666354748
2025-09-29,35038,13,2.92135792522906
2025-09-29,35048,10,2.22912907288518
2025-09-29,35073,25,5.46175525858211
2025-09-29,35098,25,5.35329788406903
2025-09-29,35106,8,1.70212212806027
2025-09-29,35112,6,1.27048235946419
2025-09-29,35115,3,0.633720370535024
2025-09-29,35117,2,0.421805930585268
2025-09-29,35125,8,1.67648558778415
2025-09-29,35133,8,1.66582842808733
2025-09-29,35141,8,1.65525156737534
2025-09-29,35144,3,0.619239678674067
2025-09-29,35162,18,3.66269503697666
2025-09-29,35164,2,0.406321086602867
2025-09-29,35173,9,1.81545053586629
2025-09-29,35197,24,4.75021922949957
2025-09-29,35198,1,0.197769694423167
2025-09-29,35199,1,0.197613734157417
2025-09-29,35215,16,3.1222108072936
2025-09-29,35219,4,0.778100274734325
2025-09-29,35221,2,0.388438752270485
2025-09-29,35247,26,4.94772259269456
2025-09-29,35248,1,0.190148059508513
2025-09-29,35250,2,0.379701100310134
2025-09-29,35253,3,0.568215981056127
2025-09-29,35255,2,0.378218407695339
2025-09-29,35256,1,0.188961349508105
2025-09-29,35272,16,2.98582956282664
2025-09-29,35277,5,0.929440306861655
2025-09-29,35342,65,11.4885708049018
2025-09-29,35356,14,2.44789321032131
2025-09-29,35357,1,0.174714900579748
2025-09-29,35366,9,1.56158054953746
2025-09-29,35374,8,1.37956298518693
2025-09-29,35377,3,0.516145653611711
2025-09-29,35384,7,1.19788823386418
2025-09-29,35387,3,0.51220112871123
2025-09-29,35388,1,0.170602890527066
2025-09-29,35390,2,0.340683227251528
2025-09-29,35403,13,2.19251485000917
2025-09-29,35410,7,1.17428587432809
2025-09-29,35415,5,0.835579501683138
2025-09-29,35429,14,2.31478248215463
2025-09-29,35432,3,0.494893068245276
2025-09-29,35452,20,3.24951375890838
2025-09-29,35482,30,4.7648105615257
2025-09-29,35489,7,1.10592961597324
2025-09-29,35493,4,0.630056041005977
2025-09-29,35503,10,1.56331732866125
2025-09-29,35523,20,3.07998415872325
2025-09-29,35527,4,0.614151076918338
2025-09-29,35528,1,0.153422671203033
2025-09-29,35535,7,1.06833932572973
2025-09-29,35536,1,0.15250563828938
2025-09-29,35549,13,1.96338452176072
2025-09-29,35559,10,1.49905919597498
2025-09-29,35563,4,0.597837184752914
2025-09-29,35586,23,3.3792133305435
2025-09-29,35592,6,0.877614711349797
2025-09-29,35599,7,1.01858054017247
2025-09-29,35607,8,1.15721195851887
2025-09-29,35614,7,1.00732835755996
2025-09-29,35632,18,2.5560634595023
2025-09-29,35636,4,0.566341380438587
2025-09-29,35655,19,2.65276781526211
2025-09-29,35658,3,0.417935969395181
2025-09-29,35663,5,0.694007701080281
2025-09-29,35673,10,1.37787469725319
2025-09-29,35683,10,1.3678242875639
2025-09-29,35702,19,2.56305073577408
2025-09-29,35711,9,1.20614032958589
2025-09-29,35712,1,0.133918048595775
2025-09-29,35714,2,0.267446443825312
2025-09-29,35720,6,0.798844916902838
2025-09-29,35723,3,0.398552348043757
2025-09-29,35728,5,0.661845525434065
2025-09-29,35730,2,0.264354066079818
2025-09-29,35733,3,0.39566869387568
2025-09-29,35751,18,2.34325352695701
2025-09-29,35752,1,0.130086615709226
2025-09-29,35753,1,0.129992563395672
2025-09-29,35780,27,3.44207892373238
2025-09-29,35805,25,3.13037124247435
2025-09-29,35816,11,1.36655203431203
2025-09-29,35826,10,1.23346737040176
2025-09-29,35844,18,2.19190969971075
2025-09-29,35863,19,2.28262447590778
2025-09-29,35974,111,12.3334952798311
2025-09-29,35993,19,2.08340941381494
2025-09-29,36001,8,0.872366158149355
2025-09-29,36017,16,1.72549731874596
2025-09-29,36027,10,1.07100604840026
2025-09-29,36042,15,1.58997120005884
2025-09-29,36044,2,0.211704300044847
2025-09-29,36047,3,0.316901176621405
2025-09-29,36061,14,1.46470563436915
2025-09-29,36075,14,1.4507085091213
2025-09-29,36079,4,0.413354321845941
2025-09-29,36082,3,0.309379877428602
2025-09-29,36092,10,1.02424033940326
2025-09-29,36097,5,0.510374943209403
2025-09-29,36108,11,1.11443559420132
2025-09-29,36109,1,0.101243349030127
2025-09-29,36121,12,1.20504238298266
2025-09-29,36137,16,1.58937124064798
2025-09-29,36150,13,1.28004992262697
2025-09-29,36164,14,1.36554343825668
2025-09-29,36173,9,0.872540717288232
2025-09-29,36177,4,0.386753031468098
2025-09-29,36183,6,0.577793088457934
2025-09-29,36189,6,0.575468494631262
2025-09-29,36190,1,0.0958470351854502
2025-09-29,36197,7,0.667785272092488
2025-09-29,36219,22,2.06807755178297
2025-09-29,36227,8,0.748023035894447
2025-09-29,36232,5,0.465958448963224
2025-09-29,36248,16,1.47527457784886
2025-09-29,36260,12,1.09767692521078
2025-09-29,36278,18,1.62701032087818
2025-09-29,36284,6,0.54019131375148
2025-09-29,36288,4,0.359178000852449
2025-09-29,36303,15,1.33367050946955
2025-09-29,36304,1,0.0888528857733164
2025-09-29,36313,9,0.794958759009596
2025-09-29,36315,2,0.176425624221031
2025-09-29,36342,27,2.33999471719824
2025-09-29,36382,40,3.3775474976014
2025-09-29,36468,86,6.87073226685164
2025-09-29,36493,25,1.9657510516926
2025-09-29,36541,48,3.66134843204647
2025-09-29,36551,10,0.757996332866818
2025-09-29,36581,30,2.23162429727134
2025-09-29,36622,41,2.97301185124258
2025-09-29,36670,48,3.37896732932132
2025-09-29,36678,8,0.560401469173741
2025-09-29,36748,70,4.69872346825679
2025-09-29,36762,14,0.931825638946868
2025-09-29,36798,36,2.34479486975545
2025-09-29,36803,5,0.324691923304761
2025-09-29,36937,134,8.03937250752249
2025-09-29,36961,24,1.41993288585473
2025-09-29,36995,34,1.97242333949914
2025-09-29,37023,28,1.59843432330354
2025-09-29,37043,20,1.12876249220926
2025-09-29,37110,67,3.64055271616521
2025-09-29,37116,6,0.324922073860339
2025-09-29,37131,15,0.805500737345972
2025-09-29,37173,42,2.20321247674993
2025-09-29,37184,11,0.573524318930609
2025-09-29,37190,6,0.311794677426865
2025-09-29,37193,3,0.155639039982249
2025-09-29,37230,37,1.88085425454495
2025-09-29,37252,22,1.10497126235205
2025-09-29,37268,16,0.796643183291104
2025-09-29,37315,47,2.28139830942223
2025-09-29,37323,8,0.38665649913683
2025-09-29,37358,35,1.66023629404357
