"Date","t","L.dur","x.use"
2025-09-29,34602,1,0.348582990628484
2025-09-29,34603,1,0.348280293366931
2025-09-29,34620,17,5.83409487519014
2025-09-29,34623,3,1.02687486815089
2025-09-29,34625,2,0.683399068201985
2025-09-29,34628,3,1.02244107004978
2025-09-29,34630,2,0.680449298230594
2025-09-29,34631,1,0.339930584166806
2025-09-29,34633,2,0.678686727075823
2025-09-29,34637,4,1.35269019862689
2025-09-29,34641,4,1.34802621549029
2025-09-29,34644,3,1.00840561703398
2025-09-29,34646,2,0.67111160220174
2025-09-29,34647,1,0.335266546054311
2025-09-29,34653,6,2.00122353446158
2025-09-29,34657,4,1.32956125412571
2025-09-29,34662,5,1.65481627802044
2025-09-29,34667,5,1.64771756992392
2025-09-29,34670,3,0.986085490559056
2025-09-29,34680,10,3.25886128224517
2025-09-29,34682,2,0.650655544273843
2025-09-29,34692,10,3.22553103043736
2025-09-29,34694,2,0.644003146728042
2025-09-29,34696,2,0.642902344767538
2025-09-29,34706,10,3.18716008438405
2025-09-29,34707,1,0.318444028212169
2025-09-29,34714,7,2.21583553784333
2025-09-29,34742,28,8.65473424968065
2025-09-29,34743,1,0.308835484724014
2025-09-29,34747,4,1.23115793058388
2025-09-29,34748,1,0.307528647150305
2025-09-29,34749,1,0.3072680770627
2025-09-29,34753,4,1.22491377918631
2025-09-29,34754,1,0.305969197255267
2025-09-29,34755,1,0.305710213326991
2025-09-29,34759,4,1.21870763116808
2025-09-29,34769,10,3.02111951548349
2025-09-29,34776,7,2.10232344780911
2025-09-29,34779,3,0.898718741698681
2025-09-29,34781,2,0.598136381889495
2025-09-29,34802,21,3.33069272966033
2025-09-29,34810,8,1.26034378300009
2025-09-29,34812,2,0.314557902096523
2025-09-29,34836,24,3.69964642180597
2025-09-29,34846,10,1.52871183374019
2025-09-29,34858,12,1.81621446067111
2025-09-29,34864,6,0.903588400930481
2025-09-29,34865,1,0.150472984685052
2025-09-29,34870,5,0.749247275740883
2025-09-29,34872,2,0.299201837177666
2025-09-29,34875,3,0.447687144106813
2025-09-29,34881,6,0.890931939678778
2025-09-29,34883,2,0.296485695829578
2025-09-29,34888,5,0.738152389754353
2025-09-29,34928,40,5.7136108721466
2025-09-29,34933,5,0.711274201391812
2025-09-29,34939,6,0.849336979404132
2025-09-29,34959,20,2.78514311754968
2025-09-29,34966,7,0.969242713959016
2025-09-29,34978,12,1.64538032633249
2025-09-29,34983,5,0.682789948053433
2025-09-29,34987,4,0.544457372336884
2025-09-29,34991,4,0.542689805129004
2025-09-29,35008,17,2.27483473926159
2025-09-29,35013,5,0.666365341389001
2025-09-29,35016,3,0.398849712297639
2025-09-29,35035,19,2.48758008096141
2025-09-29,35042,7,0.911321994424797
2025-09-29,35100,58,7.20813377810304
2025-09-29,35127,27,3.28425526118773
2025-09-29,35169,42,4.94211513740956
2025-09-29,35179,10,1.16747884894265
2025-09-29,35188,9,1.04333505440084
2025-09-29,35253,65,7.16291191850417
2025-09-29,35294,41,4.3774003337545
2025-09-29,35309,15,1.58314891992115
2025-09-29,35319,10,1.0473787246535
2025-09-29,35346,27,2.7702347640524
2025-09-29,35352,6,0.612803407842335
2025-09-29,35407,55,5.38841839366115
2025-09-29,35412,5,0.488017262918947
2025-09-29,35417,5,0.486186966696196
2025-09-29,35440,23,2.19823805451098
2025-09-29,35484,44,4.06977253234321
2025-09-29,35502,18,1.64287236692233
2025-09-29,35508,6,0.545203168910363
2025-09-29,35538,30,2.66649787779098
2025-09-29,35567,29,2.52350440028376
2025-09-29,35583,16,1.37614780849077
2025-09-29,35593,10,0.85386683708055
2025-09-29,35599,6,0.510095432159598
2025-09-29,35615,16,1.34459441451968
2025-09-29,35624,9,0.751436260116675
2025-09-29,35646,22,1.80799096929071
2025-09-29,35664,18,1.46030235418526
2025-09-29,35666,2,0.162023847732286
2025-09-29,35673,7,0.564253537958664
2025-09-29,35688,15,1.19625035841199
2025-09-29,35692,4,0.318093221775593
2025-09-29,35695,3,0.238061429937838
2025-09-29,35699,4,0.316514151202299
2025-09-29,35716,17,1.32906439452912
2025-09-29,35730,14,1.08374401676601
2025-09-29,35756,26,1.97615880540064
2025-09-29,35780,24,1.79373683725614
2025-09-29,35784,4,0.298122087421557
2025-09-29,35806,22,1.61473588890698
2025-09-29,35823,17,1.2331211828485
2025-09-29,35853,30,2.13149102843662
2025-09-29,35935,82,5.50907709721948
2025-09-29,35957,22,1.45626575065166
2025-09-29,35980,23,1.49912604573159
2025-09-29,35986,6,0.389508733495294
2025-09-29,35998,12,0.772796664693218
2025-09-29,36000,2,0.128627710776054
2025-09-29,36004,4,0.256570305981848
2025-09-29,36006,2,0.128114327342752
2025-09-29,36008,2,0.127943803058033
2025-09-29,36014,6,0.382302097234807
2025-09-29,36042,28,1.75126594261256
2025-09-29,36043,1,0.0625038938968007
2025-09-29,36064,21,1.29453538808504
2025-09-29,36075,11,0.673207551755216
2025-09-29,36081,6,0.365762284476663
2025-09-29,36107,26,1.55827129433507
2025-09-29,36109,2,0.119710967094446
2025-09-29,36117,8,0.47635784691001
2025-09-29,36124,7,0.414922167061467
2025-09-29,36131,7,0.413042718839362
2025-09-29,36147,16,0.934376235352661
2025-09-29,36154,7,0.40694739256411
2025-09-29,36174,20,1.14784346547047
2025-09-29,36177,3,0.171845417112115
2025-09-29,36219,42,2.34218748472689
2025-09-29,36315,96,5.04014844308112
2025-09-29,36411,96,4.7513927923564
2025-09-29,36493,82,3.86309485642496
2025-09-29,36518,25,1.16041253782561
2025-09-29,36527,9,0.415530422210388
2025-09-29,36550,23,1.04761704860432
2025-09-29,36551,1,0.0455218159350048
2025-09-29,36588,37,1.64825762500479
2025-09-29,36667,79,3.36260298080802
2025-09-29,36671,4,0.169870374169163
2025-09-29,36709,38,1.57934936017266
2025-09-29,36869,160,6.08673644272801
2025-09-29,36879,10,0.378369334879446
2025-09-29,37119,240,8.01018041392615
2025-09-29,37135,16,0.529720927906425
2025-09-29,37163,28,0.914096333469534
2025-09-29,37204,41,1.31154828016305
2025-09-29,37248,44,1.37749646721109
2025-09-29,37269,21,0.650775792450772
2025-09-29,37284,15,0.461486556136978
2025-09-29,37446,162,4.61873825882809
