Parameter,miu,be,sig,a,p,LogL,AIC,BIC
Estimate,0.566272705,0.969604045,0.181347963,0.38409904,3.935713601,-9983.58058,19977.16116,20011.24246
Estimate,0.585885202,0.939546896,0.181450613,0.373979647,3.971530911,-9975.899635,19961.79927,19995.88057
Estimate,0.565261232,0.939699598,0.181478184,0.366418112,3.980592574,-9986.118905,19982.23781,20016.31911
Estimate,0.565949053,0.995085288,0.181550162,0.385565041,3.957186786,-9973.055669,19956.11134,19990.19264
Estimate,0.585079826,0.939698339,0.170984248,0.362301729,4.020867907,-9999.724053,20009.44811,20043.52941
Estimate,0.552730748,0.939522591,0.181380144,0.401229216,3.979076678,-9988.574052,19987.1481,20021.2294
Estimate,0.583341558,0.939749618,0.180960263,0.362717124,3.926730491,-10000.28684,20010.57368,20044.65498
Estimate,0.565153018,0.995062396,0.191419627,0.369637714,3.969699196,-9971.164184,19952.32837,19986.40967
Estimate,0.565975848,0.93926932,0.152103232,0.390909016,4.062324011,-9972.524554,19955.04911,19989.13041
Estimate,0.525432862,0.939626999,0.181078444,0.368663845,3.965773139,-9985.688083,19981.37617,20015.45747
Estimate,0.566019505,0.939701441,0.181246686,0.37165967,3.964041442,-9990.607952,19991.2159,20025.2972
Estimate,0.575834132,0.939402023,0.181347322,0.360452475,3.979966724,-9982.62795,19975.2559,20009.3372
Estimate,0.566046265,0.939590661,0.181393731,0.371847478,3.982206327,-9977.464746,19964.92949,19999.01079
Estimate,0.566702814,0.929652839,0.181193211,0.372334946,3.929401493,-9996.939297,20003.87859,20037.9599
Estimate,0.565593278,0.939268216,0.15165842,0.373010365,3.938950393,-9966.602334,19943.20467,19977.28597
Estimate,0.563480098,0.996932187,0.181691269,0.387790714,3.955412438,-9999.423777,20008.84755,20042.92885
Estimate,0.566661552,0.939561216,0.171295941,0.373256496,3.977502936,-9992.448008,19994.89602,20028.97732
Estimate,0.565306535,0.929708781,0.180984309,0.3682414,3.955404315,-9996.58035,20003.1607,20037.242
Estimate,0.566760911,0.9396895,0.181306229,0.374766652,3.958996212,-9994.117928,19998.23586,20032.31716
Estimate,0.56553925,0.969699072,0.181551406,0.371545589,3.977226648,-9997.014094,20004.02819,20038.10949
Estimate,0.566208086,0.939586455,0.181204632,0.364590216,3.977056842,-9990.795155,19991.59031,20025.67161
Estimate,0.575121635,0.939702194,0.210509377,0.375025844,3.958248255,-9994.881144,19999.76229,20033.84359
Estimate,0.566295882,0.969703678,0.181680752,0.372995254,4.029925156,-9999.752948,20009.5059,20043.5872
Estimate,0.566003941,0.938954482,0.181948213,0.361004846,3.961555116,-9983.836091,19977.67218,20011.75348
Estimate,0.585815645,0.939629498,0.181329721,0.374027263,3.948311742,-9980.716664,19971.43333,20005.51463
Estimate,0.566928734,0.929696362,0.151582602,0.379063233,3.960282605,-9996.305745,20002.61149,20036.69279
Estimate,0.574647288,0.939221919,0.151673329,0.384621329,3.972962503,-9958.99871,19927.99742,19962.07872
Estimate,0.565328502,0.939578493,0.181131241,0.358525623,4.054656911,-9987.142993,19984.28599,20018.36729
Estimate,0.566002122,0.929568436,0.181736735,0.355170086,3.970558459,-9998.065394,20006.13079,20040.21209
Estimate,0.526499795,0.939178954,0.182224607,0.351668455,4.061488853,-9997.264387,20004.52877,20038.61007
Estimate,0.56501569,0.939705704,0.181030526,0.356125584,3.96321181,-9998.843986,20007.68797,20041.76927
Estimate,0.564973241,0.969715935,0.171186022,0.373004702,3.953098214,-9990.847668,19991.69534,20025.77664
Estimate,0.560791834,0.939539025,0.211824025,0.361693755,3.972285953,-9987.799846,19985.59969,20019.68099
Estimate,0.566531604,0.929559005,0.181613572,0.376624205,3.935798017,-9980.040257,19970.08051,20004.16181
Estimate,0.566257836,0.959295862,0.181846862,0.404143167,4.026347968,-9993.909861,19997.81972,20031.90102
Estimate,0.567072724,0.929574314,0.181423229,0.389995799,3.973068373,-9995.412922,20000.82584,20034.90715
Estimate,0.585805593,0.939251303,0.191631695,0.37797346,3.932636761,-9965.777967,19941.55593,19975.63724
Estimate,0.525294453,0.939547214,0.171292467,0.352425232,4.081400775,-9974.806687,19959.61337,19993.69468
Estimate,0.559717718,0.993547749,0.181296517,0.372882922,3.946477263,-9986.993238,19983.98648,20018.06778
Estimate,0.566217312,0.996886456,0.181446559,0.374951006,3.980888662,-9992.241339,19994.48268,20028.56398
Estimate,0.565055789,0.939647028,0.181062546,0.355543168,3.957919455,-9990.841626,19991.68325,20025.76455
Estimate,0.56552446,0.93972009,0.18141762,0.377542534,3.958872512,-9994.736517,19999.47303,20033.55434
Estimate,0.565091626,0.996662218,0.181009899,0.373430851,4.12640288,-9998.066311,20006.13262,20040.21392
Estimate,0.56526916,0.95912515,0.182529306,0.393923827,3.979351755,-9975.31075,19960.6215,19994.7028
Estimate,0.566362037,0.939634275,0.181633333,0.356819517,4.143527004,-9989.206429,19988.41286,20022.49416
Estimate,0.526132545,0.929368637,0.181817977,0.390286438,3.958690933,-9974.955661,19959.91132,19993.99262
Estimate,0.556103013,0.939700352,0.171522417,0.367988619,3.956937105,-9992.135201,19994.2704,20028.3517
Estimate,0.575265197,0.959699608,0.151575313,0.370426103,3.957319749,-9997.06319,20004.12638,20038.20768
Estimate,0.564314228,0.939653591,0.210812199,0.347616664,4.132348703,-9991.100772,19992.20154,20026.28285
Estimate,0.575370309,0.939610943,0.181577381,0.387683083,4.047699048,-9983.838669,19977.67734,20011.75864
Estimate,0.526238084,0.95967771,0.181418601,0.382779417,3.955795304,-9989.484367,19988.96873,20023.05003
Estimate,0.566282348,0.969371899,0.181606063,0.355258941,3.92772254,-9986.309487,19982.61897,20016.70027
Estimate,0.566300735,0.969639092,0.171713049,0.366479268,3.959601219,-10000.00067,20010.00134,20044.08264
Estimate,0.565900244,0.939199903,0.181656316,0.385910214,4.163767489,-9985.104052,19980.2081,20014.2894
Estimate,0.565339801,0.939618389,0.214147905,0.365670002,3.976687619,-9981.823872,19973.64774,20007.72905
Estimate,0.567205188,0.939580537,0.215821506,0.374306137,4.045577014,-9990.721622,19991.44324,20025.52455
Estimate,0.56581551,0.93964879,0.171818707,0.383679467,3.962892854,-9998.714656,20007.42931,20041.51061
Estimate,0.564976164,0.928985831,0.172375977,0.420421397,3.920569868,-9983.503126,19977.00625,20011.08755
Estimate,0.564711227,0.938978793,0.152319697,0.391776433,3.963184617,-9957.260307,19924.52061,19958.60191
Estimate,0.565962772,0.929699741,0.181000781,0.360694008,4.038535457,-9998.674663,20007.34933,20041.43063
Estimate,0.565281455,0.959638717,0.181368072,0.364578275,4.007065339,-9982.403549,19974.8071,20008.8884
Estimate,0.526421429,0.939711777,0.181422756,0.383625834,3.998630449,-9998.401166,20006.80233,20040.88363
Estimate,0.565952981,0.939696772,0.171277516,0.367949007,3.950241898,-9987.769092,19985.53818,20019.61949
Estimate,0.566512398,0.99691831,0.210891808,0.370749416,3.99229253,-9997.281952,20004.5639,20038.64521
Estimate,0.566041152,0.996997281,0.181458233,0.366905155,3.981690483,-9984.913635,19979.82727,20013.90857
Estimate,0.565845391,0.939515942,0.181177132,0.378553645,3.951235425,-9988.630338,19987.26068,20021.34198
Estimate,0.564298294,0.939032803,0.151487949,0.376253442,3.947654463,-9980.34687,19970.69374,20004.77504
Estimate,0.566356188,0.939573777,0.181486941,0.370035002,3.986886652,-9981.700713,19973.40143,20007.48273
Estimate,0.575317759,0.939388197,0.191704867,0.377573923,3.957174403,-9959.337888,19928.67578,19962.75708
Estimate,0.565225597,0.939716337,0.171100867,0.371541978,3.961371604,-9993.213897,19996.42779,20030.50909
Estimate,0.565486731,0.939699733,0.151434807,0.362571929,3.956938711,-9988.659687,19987.31937,20021.40068
Estimate,0.554575397,0.992951192,0.181503814,0.341007416,3.973407192,-9995.68712,20001.37424,20035.45554
Estimate,0.526069279,0.93968924,0.18133935,0.370722441,3.97932703,-9991.244031,19992.48806,20026.56936
Estimate,0.565119072,0.939706071,0.15100482,0.364615034,3.957445678,-9995.098379,20000.19676,20034.27806
Estimate,0.565352048,0.93970231,0.181006633,0.361235762,3.957549195,-9997.657802,20005.3156,20039.3969
Estimate,0.565914655,0.939330698,0.151363882,0.36872811,3.955286841,-9980.968287,19971.93657,20006.01788
Estimate,0.565606653,0.929700006,0.151590494,0.373476384,3.964659847,-9995.296641,20000.59328,20034.67458
Estimate,0.526335763,0.939682935,0.181694929,0.372716998,3.96443105,-9990.908192,19991.81638,20025.89769
Estimate,0.565958012,0.939691998,0.151284833,0.356405042,3.962069762,-9991.837567,19993.67513,20027.75643
Estimate,0.565175784,0.939578856,0.181027918,0.371096638,4.019038598,-9989.851142,19989.70228,20023.78359
Estimate,0.565809096,0.939644721,0.181273848,0.380309452,3.980963617,-9990.872584,19991.74517,20025.82647
Estimate,0.525131536,0.959369694,0.18164032,0.39789643,3.977908769,-9974.944276,19959.88855,19993.96985
Estimate,0.566678123,0.939559725,0.181561903,0.367632366,4.066313398,-9984.556961,19979.11392,20013.19522
Estimate,0.564885602,0.939578775,0.181323,0.374083565,3.961927999,-9976.057748,19962.1155,19996.1968
Estimate,0.544012718,0.938664176,0.182655931,0.395741915,3.921002956,-9967.693421,19945.38684,19979.46814
Estimate,0.565802328,0.939695653,0.217393236,0.375164308,3.979809274,-9995.234662,20000.46932,20034.55063
Estimate,0.566482447,0.939508987,0.151220887,0.359571999,3.979623201,-9997.345376,20004.69075,20038.77205
Estimate,0.565284756,0.93967723,0.171014056,0.372531876,4.008340401,-9992.362673,19994.72535,20028.80665
Estimate,0.566129549,0.996000987,0.181717539,0.385533428,3.883545696,-9987.680304,19985.36061,20019.44191
