"miu","be","sig","lam","del","w","LogL","AIC","BIC"
0.380105685,0.89495382,0.201826666,0.352439456,0.917839619,0.600405734,-9782.04921,19576.09842,19616.99598
0.474195704,0.886644932,0.236866762,0.320932189,0.949476908,0.591583184,-9782.06753,19576.13506,19617.03262
0.268600979,0.899951037,0.214158448,0.308563771,0.699971503,0.74028998,-9782.14663,19576.29326,19617.19082
0.508441193,0.949896949,0.190702858,0.536847082,0.723990075,0.780179208,-9782.37871,19576.75742,19617.65498
0.396105709,0.89837053,0.198317766,0.342787196,0.900316198,0.600943072,-9782.56755,19577.1351,19618.03266
0.547741139,0.867780006,0.235165737,0.560391443,0.944376705,0.596072762,-9782.61112,19577.22224,19618.1198
0.292752415,0.900424649,0.263076412,0.359947084,0.945859027,0.599519033,-9782.80618,19577.61236,19618.50992
0.494012446,0.772690034,0.416671427,0.385521204,0.740902844,0.849684163,-9782.92764,19577.85528,19618.75284
0.31927706,0.902673005,0.163917224,0.436949077,0.658375623,0.857334244,-9783.32616,19578.65232,19619.54988
0.298587651,0.900000502,0.212767191,0.329916966,0.899992748,0.613192649,-9783.36897,19578.73794,19619.6355
0.346138382,0.899424215,0.290190351,0.389439063,0.902049286,0.600557473,-9784.87137,19581.74274,19622.6403
0.292300445,0.884735123,0.253493031,0.315021227,0.924776185,0.6217208,-9784.97614,19581.95228,19622.84984
0.242493368,0.955225649,0.152988528,0.369485391,0.527547254,0.922033511,-9785.02043,19582.04086,19622.93842
0.426443343,0.856388666,0.261001808,0.432101881,1.001562338,0.586142292,-9785.61172,19583.22344,19624.121
0.289270764,0.900478205,0.279294395,0.376952336,0.899741571,0.603822385,-9786.27631,19584.55262,19625.45018
0.548404002,0.903350907,0.20165875,0.242669239,0.745288678,0.71904649,-9786.38282,19584.76564,19625.6632
0.293094469,0.899986781,0.237073793,0.321042935,0.899990908,0.599998601,-9786.46868,19584.93736,19625.83492
0.346197286,0.902436451,0.194563046,0.341712339,0.892592131,0.605693448,-9786.53999,19585.07998,19625.97754
0.48165357,0.900002356,0.199994764,0.394663974,0.925874368,0.599994764,-9786.55018,19585.10036,19625.99792
