Parameter,miu,be,sig,a,q,LogL,AIC,BIC
Estimate,0.70514274,0.939196231,0.169086179,1.250677128,1.888119781,-10013.25836,20036.51671,20070.59801
Estimate,0.50505469,0.898326339,0.228562716,1.343649345,1.883249078,-9985.752662,19981.50532,20015.58662
Estimate,0.807645336,0.939582671,0.16327967,1.268480191,1.973984342,-10029.58852,20069.17704,20103.25834
Estimate,0.669596087,0.915738874,0.237220936,1.261057689,2.090404794,-10011.5089,20033.0178,20067.0991
Estimate,0.825458697,0.966689319,0.145386182,1.286862977,2.391256707,-10032.15119,20074.30238,20108.38369
Estimate,0.66832954,0.939375139,0.15469974,1.153098041,1.941138579,-10052.7526,20115.5052,20149.5865
Estimate,0.430304581,0.956223078,0.154013392,1.179466225,2.504162626,-10004.82514,20019.65029,20053.73159
Estimate,0.999909072,0.94982234,0.211840563,1.196540809,1.784285298,-10107.06182,20224.12363,20258.20493
Estimate,0.646401757,0.899874577,0.372963974,1.288867948,1.951422058,-10107.18496,20224.36992,20258.45122
Estimate,0.658523378,0.896128875,0.344111745,1.290645762,1.851910485,-10076.52679,20163.05357,20197.13487
Estimate,0.577496237,0.929847399,0.139424618,1.383051874,2.097031517,-10040.32029,20090.64058,20124.72188
Estimate,0.473068065,0.821710059,0.286718549,1.363867442,1.951725121,-9993.93799,19997.87598,20031.95728
Estimate,1.182264324,0.970630046,0.243761278,1.191700492,1.890158463,-10153.55686,20317.11372,20351.19502
Estimate,0.780469862,0.899989007,0.247885819,1.146862443,1.882369679,-10111.42735,20232.8547,20266.936
Estimate,0.531899316,0.897876945,0.156116543,1.33954256,1.87405129,-10017.25403,20044.50805,20078.58935
Estimate,0.906898727,0.948949648,0.222933838,1.247150632,1.936351917,-10064.33709,20138.67418,20172.75548
Estimate,0.717375652,0.896757332,0.258810522,1.229105434,2.145295629,-10034.33498,20078.66996,20112.75127
Estimate,0.631178419,0.896986731,0.274334233,1.202495782,1.882491494,-10059.35253,20128.70506,20162.78636
Estimate,0.631948725,0.895304214,0.188705684,1.292631787,2.381049347,-10012.94506,20035.89013,20069.97143
Estimate,0.886439239,0.956391288,0.171104019,1.194106588,1.9529025,-10065.40144,20140.80287,20174.88418
Estimate,0.764993808,0.954064604,0.133638809,1.213294412,2.021500108,-10032.34006,20074.68011,20108.76141
Estimate,0.627081962,0.904201613,0.169248156,1.115459309,1.79069833,-10106.30387,20222.60775,20256.68905
Estimate,0.854500076,0.941944429,0.206010497,1.257845011,2.224442139,-10033.40751,20076.81501,20110.89631
Estimate,0.940077228,0.956053315,0.159377537,1.112207423,2.096036065,-10114.16411,20238.32821,20272.40951
Estimate,0.526970692,0.857850095,0.245616222,1.292147213,1.856311927,-9995.700838,20001.40168,20035.48298
Estimate,0.814483047,0.989970146,0.075446697,1.322383232,1.661113579,-10075.27466,20160.54932,20194.63062
Estimate,0.708428133,0.944258082,0.189031119,1.318747753,1.888930416,-10009.06154,20028.12309,20062.20439
Estimate,0.444176983,0.899722342,0.193474527,1.417770157,1.938405421,-10003.7657,20017.53141,20051.61271
Estimate,0.678186891,0.910388289,0.193700428,1.243645431,1.859832613,-10017.15511,20044.31023,20078.39153
Estimate,0.496049211,0.922216706,0.187375605,1.341569494,2.049176206,-9984.227945,19978.45589,20012.53719
Estimate,0.713695291,0.937628747,0.190900854,1.218834576,2.144411342,-10015.3793,20040.75859,20074.83989
Estimate,0.596201999,0.888199409,0.410880445,1.242944479,1.875691676,-10163.75426,20337.50852,20371.58982
Estimate,0.767461711,0.899737052,0.352566761,1.314901085,1.879707836,-10094.71022,20199.42044,20233.50174
Estimate,0.326421434,0.889900836,0.248722699,1.390911508,1.879100695,-9991.444976,19992.88995,20026.97125
Estimate,0.723938296,0.799146574,0.283051834,1.276071889,1.857023975,-10084.36274,20178.72548,20212.80678
Estimate,0.434112667,0.790493411,0.357612289,1.496022572,2.164074562,-10032.28006,20074.56013,20108.64143
Estimate,0.646518544,0.868614299,0.228079718,1.18394176,2.008462747,-10043.41038,20096.82076,20130.90207
Estimate,0.471344744,0.838472925,0.321526805,1.358229328,1.937546737,-9996.111784,20002.22357,20036.30487
Estimate,0.893761066,0.898240028,0.286961102,1.145477595,1.879899432,-10157.27905,20324.55811,20358.63941
Estimate,0.310686186,0.884631377,0.269938862,1.167255313,2.194011783,-10061.17719,20132.35438,20166.43568
Estimate,0.680819358,0.909343264,0.190174444,1.093366187,2.037561038,-10100.78813,20211.57626,20245.65756
Estimate,0.31793112,0.943315801,0.151707715,1.460039922,1.915577467,-10046.03067,20102.06133,20136.14263
Estimate,0.627232565,0.900020798,0.370489004,1.429807639,1.879514718,-10090.46709,20190.93419,20225.01549
Estimate,0.989259143,0.936201938,0.208570414,1.427006527,1.835243847,-10097.50587,20205.01174,20239.09305
Estimate,0.787534291,0.874431858,0.287918152,1.265228643,2.173197047,-10062.30744,20134.61488,20168.69619
Estimate,0.827017253,0.926645476,0.203946032,1.325458216,1.99767827,-10039.6912,20089.38239,20123.46369
Estimate,0.592810162,0.936513358,0.158825789,1.354817779,1.959473735,-10003.88318,20017.76636,20051.84766
Estimate,0.40540072,0.890767236,0.33002679,1.242196366,1.882836029,-10072.11354,20154.22709,20188.30839
Estimate,0.557338555,0.885666963,0.216799661,1.257904288,1.97740016,-9996.612833,20003.22567,20037.30697
Estimate,0.696445065,0.895139195,0.202580868,1.182054606,1.929546495,-10049.46856,20108.93713,20143.01843
Estimate,0.483034765,0.897041735,0.307118845,1.253857552,1.89765459,-10048.61401,20107.22803,20141.30933
Estimate,0.740738524,0.967299253,0.09767962,1.201518609,1.794393207,-10059.27288,20128.54577,20162.62707
Estimate,0.766665887,0.923128675,0.145830724,1.070733175,2.028261275,-10139.28997,20288.57994,20322.66124
Estimate,0.543681323,0.898599377,0.118014204,1.454347301,1.878443753,-10146.72983,20303.45966,20337.54097
Estimate,0.908545403,0.913651027,0.378168557,1.290555226,2.639365842,-10143.02184,20296.04368,20330.12498
Estimate,0.673386286,0.836047159,0.289330969,1.369107715,1.568193532,-10036.89707,20083.79413,20117.87543
Estimate,0.80817818,0.894398847,0.274348839,1.302505987,1.882932029,-10055.99672,20121.99343,20156.07473
Estimate,0.923139415,0.963259588,0.160842272,1.216559791,1.908061979,-10058.05342,20126.10684,20160.18814
Estimate,0.757958906,0.972608563,0.074758983,1.149387104,1.876163148,-10085.82354,20181.64709,20215.72839
Estimate,0.457531927,0.85788463,0.354492829,1.435148204,1.794345363,-10022.78827,20055.57653,20089.65783
Estimate,0.770573377,0.920732285,0.170457147,1.487450039,1.873411138,-10128.5016,20267.00319,20301.08449
Estimate,0.195773263,0.973885921,0.172420773,1.218507342,2.520849223,-10031.20693,20072.41386,20106.49516
Estimate,0.586929994,0.888681439,0.232627755,1.484687846,1.639389109,-10024.5324,20059.06479,20093.1461
Estimate,0.293741649,0.940554001,0.154397381,1.151869961,2.647396169,-10012.96412,20035.92823,20070.00953
Estimate,0.624109296,0.948768029,0.147482338,1.327728467,2.014934464,-9998.896487,20007.79297,20041.87427
Estimate,0.694498087,0.931631584,0.177671606,1.525943868,1.754858428,-10094.01897,20198.03793,20232.11923
Estimate,0.733643856,0.967302418,0.173406677,1.313286654,2.043504806,-10026.02914,20062.05829,20096.13959
Estimate,0.904215271,0.89053007,0.294718598,1.188522599,1.894260151,-10132.61448,20275.22895,20309.31026
Estimate,0.749800621,0.735163723,0.419850569,1.354723585,1.931853149,-10126.11938,20262.23876,20296.32006
Estimate,0.478901228,0.842732679,0.263531162,1.263192317,2.068039242,-9998.7666,20007.5332,20041.6145
Estimate,0.684746892,0.910854486,0.326127292,1.224581685,1.939321279,-10104.90263,20219.80526,20253.88656
Estimate,0.541680955,0.949885097,0.153055579,1.343058888,1.998912607,-9996.452685,20002.90537,20036.98667
Estimate,0.646886933,0.916584804,0.178302729,1.462956243,1.882793659,-10058.29879,20126.59758,20160.67888
Estimate,0.398548449,0.921699225,0.238201028,1.313352555,2.016416628,-9996.856318,20003.71264,20037.79394
Estimate,0.687177545,0.777967185,0.325367104,1.189947274,1.894751549,-10104.02299,20218.04598,20252.12728
Estimate,0.297337175,0.891753971,0.248586847,1.231030801,2.012102107,-10026.50734,20063.01468,20097.09598
Estimate,0.765400053,0.948332867,0.237909092,1.099847291,1.823615608,-10185.09714,20380.19429,20414.27559
Estimate,0.528900682,0.968247487,0.145635279,1.413264894,1.724499209,-10032.85781,20075.71562,20109.79693
Estimate,0.810064005,0.934046462,0.20346006,1.257805494,1.926560624,-10034.76201,20079.52401,20113.60531
Estimate,0.461475363,0.946103448,0.1581044,1.265372342,1.810380461,-10001.06565,20012.1313,20046.2126
Estimate,0.561123571,0.933533568,0.14468043,1.239583452,1.863534816,-10006.46037,20022.92073,20057.00203
Estimate,0.406809783,0.917144154,0.217959519,1.247904356,1.829570973,-10011.76931,20033.53863,20067.61993
Estimate,0.604366348,0.917347309,0.22121078,1.363772992,1.77558202,-9996.941975,20003.88395,20037.96525
Estimate,0.652781926,0.93274806,0.18671109,1.340399124,1.929902767,-10001.70537,20013.41074,20047.49204
Estimate,0.650621609,0.949990051,0.14254636,1.207637148,1.984958602,-10017.08405,20044.1681,20078.2494
Estimate,0.546171575,0.89149823,0.367371752,1.50401586,1.830775782,-10079.46429,20168.92859,20203.00989
Estimate,0.728669706,0.931582692,0.238484693,1.274632352,1.872465374,-10031.27245,20072.5449,20106.6262
Estimate,0.895577301,0.952203582,0.20242554,1.2117603,2.100769724,-10052.91395,20115.8279,20149.9092
Estimate,0.572879151,0.900013055,0.404553633,1.240951504,1.879674889,-10172.90042,20355.80084,20389.88215
Estimate,0.731901395,0.900072604,0.319578603,1.266360451,1.878305911,-10079.28791,20168.57582,20202.65712
Estimate,0.499334391,0.877941907,0.198100036,1.202490671,2.182717293,-10008.69833,20027.39666,20061.47796
Estimate,0.599527472,0.900016037,0.245156126,1.179517544,1.87962581,-10059.40966,20128.81931,20162.90061
Estimate,0.7284718,0.92525147,0.183753471,1.274157383,1.917909299,-10014.75049,20039.50099,20073.58229
Estimate,0.622128841,0.888370242,0.226151629,1.33621089,1.899196158,-9997.985202,20005.9704,20040.0517
Estimate,0.823507805,0.900302461,0.234307689,1.226028449,1.904782179,-10065.48093,20140.96186,20175.04316
Estimate,0.559918121,0.925838744,0.306781597,1.175227381,1.992175048,-10126.26835,20262.5367,20296.61801
Estimate,0.637783479,0.862814259,0.259333455,1.312179566,1.878904463,-10008.73998,20027.47997,20061.56127
Estimate,0.791229982,0.95333859,0.155700313,1.245590667,1.84345076,-10033.30283,20076.60566,20110.68696
Estimate,0.442028742,0.899489927,0.312732447,1.119154207,2.029293499,-10159.94589,20329.89178,20363.97308
Estimate,0.681298475,0.900011762,0.253130693,1.366103915,1.879557395,-10013.1353,20036.27061,20070.35191
Estimate,0.54575252,0.933860661,0.153335124,1.251763881,1.958587212,-9992.299113,19994.59823,20028.67953
Estimate,0.834008131,0.896880348,0.290148491,1.319336399,1.884011068,-10062.6083,20135.2166,20169.2979
Estimate,0.749613883,0.950827434,0.173272907,1.188756051,1.779503737,-10055.32598,20120.65196,20154.73326
Estimate,0.563084855,0.706034194,0.434545106,1.567704346,1.906602331,-10091.09655,20192.19309,20226.2744
Estimate,0.705016558,0.903601599,0.233189818,1.088612586,1.87996435,-10150.39126,20310.78252,20344.86382
Estimate,0.574394803,0.93355795,0.177723106,1.34992977,1.881501448,-9987.552175,19985.10435,20019.18565
Estimate,0.961524849,0.982152868,0.152876972,1.199381281,2.175139593,-10063.40243,20136.80487,20170.88617
Estimate,0.954865906,0.935446789,0.209547692,1.495857453,2.013971567,-10146.65656,20303.31311,20337.39441
Estimate,0.73029912,0.897752707,0.104086003,1.181972287,1.884771108,-10145.12502,20300.25004,20334.33134
Estimate,0.534330016,0.882113214,0.283428226,1.462292672,2.150222532,-10029.91185,20069.8237,20103.905
Estimate,0.653094652,0.956466531,0.137082483,1.322248921,1.980514857,-10011.06753,20032.13505,20066.21635
Estimate,0.846340137,0.968847046,0.112348503,1.111716358,2.006654053,-10096.20579,20202.41157,20236.49287
Estimate,0.750914425,0.921344418,0.175999973,1.252279487,2.017310901,-10027.87749,20065.75498,20099.83628
Estimate,0.84307636,0.920220718,0.207642712,1.188384464,1.887918913,-10074.56331,20159.12662,20193.20792
Estimate,0.803336562,0.906942852,0.32679618,1.350921953,1.876181409,-10080.73025,20171.46051,20205.54181
Estimate,0.79940648,0.951736708,0.160063507,1.283202837,1.881962162,-10026.78619,20063.57238,20097.65368
Estimate,0.637584199,0.95852789,0.191267113,1.361876388,1.876850432,-10018.12915,20046.25831,20080.33961
Estimate,0.710163752,0.860569556,0.24129242,1.166630851,1.889681159,-10082.06248,20174.12496,20208.20626
Estimate,0.45617781,0.926886293,0.123940638,1.298630655,2.042703275,-10014.88428,20039.76856,20073.84986
Estimate,0.611869285,0.901436811,0.262133295,1.259132072,1.899194373,-10020.28733,20050.57467,20084.65597
Estimate,0.674174528,0.897323747,0.256642565,1.267743477,1.933722566,-10021.5083,20053.01661,20087.09791
Estimate,0.455495929,0.900011832,0.251001649,1.094884467,2.013515578,-10131.94178,20273.88356,20307.96486
Estimate,0.52550958,0.816787329,0.390547432,1.362296153,1.911774374,-10031.55258,20073.10516,20107.18646
Estimate,0.78806979,0.900014348,0.259922687,1.3771356,2.028610257,-10047.11698,20104.23397,20138.31527
Estimate,0.608204144,0.899794428,0.167577111,1.242229551,1.956157702,-10012.04918,20034.09836,20068.17966
Estimate,0.784508705,0.918497418,0.293572241,1.382866365,1.865504968,-10058.0369,20126.0738,20160.1551
Estimate,0.841959091,0.962426987,0.174458948,1.31508737,1.900504004,-10034.63463,20079.26925,20113.35055
Estimate,0.86547889,0.869343132,0.350902275,1.304807376,1.864450021,-10113.03918,20236.07835,20270.15965
Estimate,0.733867755,0.900675357,0.193518988,1.090089907,1.914441383,-10130.08795,20270.1759,20304.2572
Estimate,0.59950854,0.920407803,0.195335909,1.273814763,2.055505379,-9990.180862,19990.36172,20024.44303
Estimate,1.221769614,0.949817933,0.245005946,1.295805881,1.930155812,-10115.99742,20241.99483,20276.07614
Estimate,0.373159952,0.826380872,0.271105885,1.20230974,1.819688355,-10077.92274,20165.84549,20199.92679
Estimate,0.115596616,0.899416229,0.286187043,1.486418278,2.492198419,-10082.75347,20175.50694,20209.58824
Estimate,0.694121706,0.901387101,0.24268635,1.186551731,1.885079215,-10061.61435,20133.2287,20167.31001
Estimate,0.818520729,0.967627019,0.142874184,1.301893183,1.841011821,-10034.8853,20079.77059,20113.85189
Estimate,0.658681819,0.87332125,0.363401108,1.436463927,1.883036232,-10061.2474,20132.4948,20166.5761
Estimate,0.847740551,0.890715188,0.299449879,1.406338712,1.958284195,-10084.35308,20178.70616,20212.78746
Estimate,0.839647307,0.958930553,0.171600357,1.114257368,2.493135355,-10071.30224,20152.60449,20186.68579
Estimate,0.70129485,0.900010636,0.099988182,1.24649166,1.87975183,-10139.28072,20288.56145,20322.64275
Estimate,0.609242675,0.875196629,0.249697432,1.390793186,1.969426802,-10008.68646,20027.37293,20061.45423
Estimate,1.040241702,0.904977158,0.272248609,1.193341047,1.914979311,-10159.70337,20329.40674,20363.48804
Estimate,0.708804649,0.894334141,0.220012051,1.22007089,1.876139277,-10032.6773,20075.35459,20109.4359
Estimate,0.620809556,0.777435935,0.375121401,1.408365759,2.176234668,-10052.30752,20114.61503,20148.69633
Estimate,0.48279352,0.839413738,0.257016903,1.285296188,2.207793953,-9989.34374,19988.68748,20022.76878
Estimate,0.596933287,0.906960298,0.251816827,1.281779815,2.111362659,-9999.108542,20008.21708,20042.29839
Estimate,0.693167995,0.970511478,0.14238789,1.371234314,1.901956927,-10038.78926,20087.57852,20121.65982
Estimate,1.09737344,0.949238611,0.290251558,1.163015837,2.260966665,-10164.7115,20339.423,20373.5043
Estimate,0.609383338,0.927989992,0.238449236,1.321258509,1.933678669,-10006.9717,20023.94341,20058.02471
Estimate,0.433261926,0.947133356,0.137298201,1.31777501,1.92128119,-9995.888866,20001.77773,20035.85903
Estimate,0.404118207,0.875639966,0.285637199,1.400606759,2.248295165,-9998.290894,20006.58179,20040.66309
Estimate,0.537506068,0.903624386,0.298539594,1.259784307,2.272051848,-10026.43572,20062.87145,20096.95275
Estimate,0.696993487,0.914276532,0.22048354,1.218731046,1.828471555,-10040.87193,20091.74386,20125.82516
Estimate,0.678684715,0.879277194,0.268665184,1.357821293,1.904805513,-10020.89699,20051.79399,20085.87529
Estimate,0.779063283,0.904303322,0.202749737,1.344195683,1.917826068,-10046.53967,20103.07935,20137.16065
Estimate,0.798850254,0.944677392,0.155284877,1.17204636,1.979665717,-10055.28143,20120.56287,20154.64417
Estimate,1.016377685,0.880200628,0.295175426,1.388532656,1.932770181,-10170.47842,20350.95684,20385.03815
Estimate,0.777524262,0.829063497,0.265154802,1.132844533,1.810864001,-10152.93426,20315.86852,20349.94982
Estimate,0.971469024,0.899969479,0.333690077,1.221839562,1.879691994,-10158.10383,20326.20766,20360.28896
Estimate,0.736005121,0.937012951,0.239947511,1.240791096,1.921218439,-10046.86948,20103.73896,20137.82027
Estimate,0.84246763,0.938232401,0.169485734,1.26220468,1.900503748,-10042.20257,20094.40514,20128.48644
Estimate,0.903100828,0.900020474,0.267677217,1.122329894,1.969037043,-10161.35964,20332.71929,20366.80059
Estimate,0.497859297,0.874167483,0.233683263,1.407186352,2.34870178,-10012.37751,20034.75501,20068.83631
Estimate,0.797925355,0.965982831,0.155016543,1.113825706,1.979045355,-10105.67742,20221.35483,20255.43614
Estimate,0.558006963,0.977423326,0.1482009,1.36932152,1.790459073,-10030.6373,20071.27461,20105.35591
Estimate,0.74659597,0.949119192,0.131306963,1.166780305,1.783662946,-10069.10635,20148.21271,20182.29401
Estimate,0.886087782,0.963282137,0.14341236,1.155617525,1.87768881,-10085.48516,20180.97032,20215.05162
Estimate,0.581247238,0.941097116,0.165799465,1.32340364,1.809123335,-9992.924995,19995.84999,20029.93129
Estimate,0.679600159,0.922679433,0.22413792,1.260407492,1.900638514,-10012.7473,20035.49461,20069.57591
Estimate,0.581967083,0.935454364,0.260185157,1.383247301,1.897193831,-10029.99837,20069.99674,20104.07804
Estimate,0.982454551,0.931516118,0.247846221,1.272926599,2.087624049,-10077.18249,20164.36499,20198.44629
Estimate,0.666749814,0.84333197,0.277420474,1.372025562,1.861532502,-10034.47369,20078.94738,20113.02868
Estimate,0.59244977,0.909711479,0.242933064,1.256471735,2.235110393,-9999.121878,20008.24376,20042.32506
Estimate,0.573132385,0.95913555,0.141494314,1.298353633,2.087480895,-10006.69367,20023.38734,20057.46864
Estimate,0.7363744,0.939321395,0.253650809,1.317483065,1.977747797,-10038.02662,20086.05324,20120.13454
Estimate,0.868737201,0.943845685,0.252415557,1.291370894,1.871604476,-10066.89319,20143.78637,20177.86767
Estimate,0.662852393,0.980305566,0.103429005,1.116581958,1.738031089,-10128.66224,20267.32449,20301.40579
Estimate,0.660092691,0.95859077,0.146142592,1.238863608,1.992204905,-10011.9382,20033.87639,20067.95769
Estimate,0.566979489,0.900129823,0.34534405,1.567970405,2.661530409,-10162.91153,20335.82307,20369.90437
Estimate,0.62669464,0.923565833,0.18720784,1.166016037,2.018491533,-10038.63317,20087.26634,20121.34764
Estimate,0.698686456,0.900561565,0.328848403,1.283699323,1.935140465,-10072.02927,20154.05854,20188.13984
Estimate,0.603314499,0.89796783,0.218894256,1.342242734,2.004208273,-9994.10298,19998.20596,20032.28726
Estimate,1.016558346,0.924071224,0.342678962,1.239582361,2.125904644,-10157.9483,20325.89661,20359.97791
Estimate,0.637213407,0.895219203,0.286043215,1.217275937,1.883625578,-10056.03203,20122.06405,20156.14535
Estimate,0.686503498,0.901843834,0.248809546,1.387141466,1.913070367,-10019.82363,20049.64726,20083.72856
Estimate,0.663813661,0.954295195,0.136824153,1.208284874,1.974964224,-10017.50871,20045.01741,20079.09871
Estimate,0.768556805,0.961982424,0.178377568,1.151750079,1.921826207,-10085.56248,20181.12495,20215.20625
Estimate,0.669630312,0.895845714,0.199041526,1.291355032,1.987069978,-10015.76442,20041.52884,20075.61015
Estimate,0.622780734,0.891366029,0.227843243,1.321866228,1.903468047,-10000.41212,20010.82425,20044.90555
Estimate,0.578188724,0.887116306,0.220915534,1.309139804,2.047715567,-9991.051329,19992.10266,20026.18396
Estimate,0.693764825,0.937272801,0.186094603,1.386117166,2.790807874,-10064.34884,20138.69768,20172.77898
Estimate,0.404753142,0.916109469,0.185327063,1.31471249,1.982130865,-9982.592917,19975.18583,20009.26713
Estimate,0.722547988,0.930316832,0.234615156,1.212333045,1.877220127,-10055.14414,20120.28829,20154.36959
Estimate,0.520306272,0.922945086,0.304582184,1.316189757,2.03418817,-10043.6847,20097.36941,20131.45071
Estimate,0.653936721,0.9421398,0.176504453,1.298985141,1.786771091,-10001.23493,20012.46985,20046.55115
Estimate,0.518032048,0.893991432,0.239948432,1.505549411,1.86523511,-10036.61113,20083.22226,20117.30356
Estimate,1.239706887,0.983804725,0.139863009,1.374485516,2.042367538,-10079.56204,20169.12408,20203.20538
Estimate,0.57847379,0.951599459,0.158920802,1.316634483,2.059795833,-9993.864883,19997.72977,20031.81107
Estimate,0.628283875,0.896794435,0.178486548,1.194285105,1.86769515,-10036.66688,20083.33377,20117.41507
Estimate,0.714793166,0.913865934,0.224357645,1.254815751,2.065746543,-10015.42928,20040.85857,20074.93987
Estimate,0.684545333,0.941060944,0.155147875,1.231453407,1.997110468,-10011.77903,20033.55806,20067.63936
Estimate,0.722663245,0.963440655,0.157287622,1.076652281,1.926218382,-10145.83052,20301.66104,20335.74234
Estimate,0.592230915,0.912848174,0.198840608,1.360802593,1.98359965,-9995.786464,20001.57293,20035.65423
Estimate,0.669586873,0.899978777,0.214072328,1.258907158,1.903259623,-10011.04055,20032.08111,20066.16241
Estimate,0.528511442,0.909086855,0.215483978,1.391597247,1.833595071,-9988.033364,19986.06673,20020.14803
Estimate,0.714615824,0.900012766,0.293281753,1.322154084,2.164303109,-10033.7922,20077.58441,20111.66571
Estimate,0.532486489,0.861032141,0.25665706,1.409498358,1.85840144,-9999.975587,20009.95117,20044.03248
Estimate,0.51850967,0.90939688,0.25035701,1.45593043,2.208662669,-10030.46293,20070.92586,20105.00716
Estimate,1.15272677,0.97650333,0.175515373,1.30538552,1.870137524,-10072.34955,20154.6991,20188.7804
Estimate,0.620768847,0.971685744,0.153309802,1.263292555,2.107046882,-10016.39246,20042.78493,20076.86623
Estimate,0.51713575,0.899412807,0.21752262,1.409868417,1.879261274,-9995.03529,20000.07058,20034.15188
Estimate,0.624374872,0.927399427,0.207249318,1.154844886,1.965793299,-10056.12625,20122.25251,20156.33381
Estimate,-0.065580113,0.900051235,0.338625037,1.592727365,1.955094987,-10166.91572,20343.83144,20377.91274
Estimate,0.324327656,0.88125435,0.32681162,1.467623045,2.296720933,-10037.31352,20084.62705,20118.70835
Estimate,0.593371559,0.923258274,0.184218641,1.302349034,1.786205222,-9994.803189,19999.60638,20033.68768
Estimate,0.850180759,0.90001539,0.270459183,1.214855834,1.879640895,-10091.5352,20193.0704,20227.1517
Estimate,0.687958984,0.821832544,0.279468951,1.239471949,2.183734523,-10052.91538,20115.83076,20149.91206
Estimate,0.748409168,0.898681671,0.243199577,1.193033626,1.857910459,-10065.50749,20141.01499,20175.09629
Estimate,0.897355961,0.966335537,0.19970609,1.325672952,1.863554045,-10044.88457,20099.76914,20133.85044
Estimate,0.705715588,0.965641524,0.154745109,1.520108479,1.940818917,-10124.14956,20258.29912,20292.38042
Estimate,0.585097581,0.873595549,0.254372398,1.167388945,1.907168552,-10062.12936,20134.25871,20168.34001
Estimate,0.991797358,0.955904535,0.221831723,1.271498155,1.896618466,-10072.50086,20155.00173,20189.08303
Estimate,0.518487297,0.908736997,0.213615139,1.40427007,2.119115309,-10003.20062,20016.40123,20050.48253
Estimate,0.76905267,0.879157515,0.226708902,1.194460923,1.996294631,-10071.82997,20153.65993,20187.74123
Estimate,0.701482435,0.908522204,0.221927269,1.321632923,1.893473566,-10010.25837,20030.51675,20064.59805
Estimate,0.668662058,0.900006784,0.199321422,1.167972622,1.87984171,-10054.02573,20118.05146,20152.13276
Estimate,0.801821449,0.900048205,0.169042273,1.452524562,1.922451601,-10173.15411,20356.30822,20390.38952
Estimate,0.368857538,0.867685844,0.282624149,1.232616378,1.808880238,-10048.64629,20107.29258,20141.37388
Estimate,0.361183543,0.944809431,0.120730247,1.366969105,2.253029956,-10042.9982,20095.99641,20130.07771
Estimate,0.680881232,0.899957458,0.279972067,1.141212537,1.880974377,-10121.73582,20253.47164,20287.55295
Estimate,0.702830587,0.905578692,0.203794685,1.122710421,1.988473711,-10085.08693,20180.17386,20214.25516
Estimate,0.743835149,0.894955728,0.194235091,1.089590767,1.890717107,-10136.70144,20283.40287,20317.48417
Estimate,0.680492966,0.898634984,0.243301968,1.445050904,1.950691644,-10037.4323,20084.8646,20118.9459
Estimate,0.700070783,0.942920039,0.229200942,1.350776454,2.011902145,-10018.86027,20047.72054,20081.80184
Estimate,0.743041192,0.942934633,0.197334692,1.370964715,2.047717074,-10023.73026,20057.46052,20091.54182
Estimate,0.77090246,0.899931767,0.201904746,1.359625316,1.879573794,-10052.0581,20114.11621,20148.19751
Estimate,0.588831192,0.907726089,0.164841215,1.049762324,1.912696778,-10166.27161,20342.54322,20376.62452
Estimate,0.522040836,0.94221448,0.174499383,1.458963291,1.891193465,-10028.0389,20066.07779,20100.15909
Estimate,0.834352206,0.956180045,0.18334925,1.300981942,2.078324527,-10030.45825,20070.9165,20104.9978
Estimate,1.004782298,0.939923437,0.244846198,1.363583771,1.7825978,-10082.96156,20175.92313,20210.00443
Estimate,0.761380647,0.917887204,0.119375373,1.124881061,1.872596888,-10129.19027,20268.38055,20302.46185
Estimate,0.91351997,0.92972166,0.169117747,1.168680585,1.848442948,-10105.69877,20221.39753,20255.47883
Estimate,0.852301412,0.861843921,0.379417126,1.304636056,1.917768465,-10120.28405,20250.56811,20284.64941
