Parameter,miu,be,sig,a,q,LogL,AIC,BIC
Estimate,0.545830421,0.94701956,0.149084932,1.22553925,1.861932613,-10009.77944,20029.55889,20063.64019
Estimate,0.962231327,0.918453751,0.226661045,1.208407186,2.011539022,-10100.4532,20210.90641,20244.98771
Estimate,0.654900581,0.891219812,0.24387343,1.227518899,2.15206908,-10015.95172,20041.90344,20075.98474
Estimate,0.93877063,0.899605593,0.305900029,1.178571622,1.880165445,-10160.00408,20330.00816,20364.08946
Estimate,0.874150482,0.901846569,0.249667321,1.358346931,2.153710816,-10080.82067,20171.64135,20205.72265
Estimate,0.730407365,0.971400603,0.124895061,1.314896857,1.959966529,-10028.22248,20066.44497,20100.52627
Estimate,-0.078067514,0.912689629,0.28598538,1.569536713,2.048863902,-10166.58362,20343.16723,20377.24854
Estimate,0.55023851,0.913851925,0.128675473,1.384023888,2.102440007,-10064.94017,20139.88035,20173.96165
Estimate,0.814323909,0.91702491,0.290171499,1.237899661,1.896844254,-10086.10617,20182.21235,20216.29365
Estimate,0.455875443,0.779657649,0.249937531,1.212265728,2.311866313,-10043.087,20096.174,20130.2553
Estimate,0.44668636,0.849170363,0.285910925,1.344402588,2.092261891,-9987.071193,19984.14239,20018.22369
Estimate,0.747732623,0.890352591,0.274135164,1.324966866,2.085949491,-10035.77485,20081.5497,20115.631
Estimate,0.885952251,0.923999999,0.281303428,1.276081392,2.136394316,-10072.49085,20154.9817,20189.063
Estimate,0.811595696,0.890062874,0.211171596,1.140803254,1.989373473,-10109.2039,20228.40779,20262.48909
Estimate,0.743434186,0.827138502,0.362091405,1.262436584,2.098660258,-10084.03601,20178.07203,20212.15333
Estimate,0.736763369,0.830351168,0.465961932,1.27970724,2.070193587,-10159.75865,20329.51731,20363.59861
Estimate,0.693527933,0.899992737,0.177361794,1.47304865,1.879553251,-10105.25906,20220.51813,20254.59943
Estimate,0.380221847,0.830691519,0.281386876,1.208663363,2.447542458,-10013.79589,20037.59178,20071.67308
Estimate,0.745107967,0.897667518,0.24539331,1.261377109,1.881935581,-10033.64488,20077.28976,20111.37106
Estimate,0.684675526,0.900820824,0.2926084,1.441497507,1.882825084,-10044.7484,20099.49681,20133.57811
Estimate,0.566392888,0.882812519,0.337735982,1.266217159,1.890986197,-10059.99374,20129.98747,20164.06877
Estimate,0.749539189,0.931115013,0.256956239,1.420520142,2.229814459,-10057.63558,20125.27116,20159.35246
Estimate,0.71572612,0.911691915,0.100640499,1.206868674,1.905566998,-10118.70945,20247.4189,20281.5002
Estimate,0.715302832,0.889054513,0.28160324,1.226535184,1.851209752,-10059.52953,20129.05907,20163.14037
Estimate,0.714520555,0.947094789,0.175113074,1.174339407,1.864419339,-10053.59906,20117.19812,20151.27942
Estimate,0.557232088,0.893907347,0.311486319,1.22276592,1.887308684,-10073.86571,20157.73142,20191.81272
Estimate,0.467972598,0.90134183,0.249468014,1.455314237,1.877262641,-10006.4291,20022.85819,20056.93949
Estimate,0.32860948,0.911640397,0.251731888,1.312217969,1.871017235,-10002.89001,20015.78001,20049.86131
Estimate,0.801891076,0.953523112,0.196027739,1.349201242,1.826110909,-10026.7855,20063.57101,20097.65231
Estimate,0.379046476,0.908136763,0.176148207,1.298786167,1.899559434,-9991.041823,19992.08365,20026.16495
Estimate,0.70593784,0.863947634,0.292762362,1.279011587,2.272149791,-10032.22814,20074.45627,20108.53758
Estimate,0.632986226,0.920641364,0.173528002,1.358843605,1.867316673,-10006.90004,20023.80009,20057.88139
Estimate,0.640441095,0.898923141,0.223120504,1.333528955,1.880978288,-10000.14916,20010.29833,20044.37963
Estimate,0.839214956,0.947191293,0.183419836,1.277156725,1.926295008,-10033.27713,20076.55427,20110.63557
Estimate,0.667940011,0.896330151,0.205670218,1.241120958,1.875468966,-10021.94248,20053.88495,20087.96625
Estimate,0.751694967,0.858023489,0.300966902,1.341296559,1.906867524,-10052.42184,20114.84368,20148.92499
Estimate,0.91105494,0.95959675,0.237388189,1.27842689,2.316936963,-10060.43642,20130.87284,20164.95414
Estimate,0.77011154,0.937346591,0.164451691,1.3443925,1.88598287,-10031.29779,20072.59557,20106.67688
Estimate,0.640163427,0.94665918,0.164737808,1.134511436,2.048043283,-10056.62452,20123.24903,20157.33033
Estimate,0.788775258,0.97827645,0.12572494,1.331910821,1.991419179,-10042.34759,20094.69518,20128.77648
Estimate,0.590666928,0.880629773,0.22320683,1.408991538,2.022938939,-10021.57317,20053.14634,20087.22764
Estimate,0.710819175,0.917190035,0.194325825,1.328494884,2.101119892,-10018.91466,20047.82933,20081.91063
Estimate,0.587354144,0.971523162,0.204784289,1.272190432,2.23943396,-10040.4444,20090.8888,20124.9701
Estimate,0.175558895,0.982302122,0.091175493,1.370475257,1.678958946,-10071.18802,20152.37604,20186.45734
Estimate,0.607934762,0.916375124,0.248895537,1.337376174,1.834968688,-10006.06432,20022.12864,20056.20994
Estimate,0.717889076,0.900101132,0.252645209,1.22846716,1.980604968,-10039.67287,20089.34574,20123.42704
Estimate,0.737055212,0.969079135,0.167544067,1.221489986,1.878401339,-10046.54902,20103.09803,20137.17933
Estimate,0.705428973,0.900038494,0.22441377,1.301521972,1.880536164,-10018.95806,20047.91611,20081.99741
Estimate,0.542456448,0.87173646,0.213380106,1.244034149,1.878720602,-10008.68318,20027.36636,20061.44766
Estimate,0.422024646,0.943806011,0.159262873,1.32839551,1.88785735,-9989.508749,19989.0175,20023.0988
Estimate,0.646484325,0.900014088,0.192699778,1.289963355,2.037359247,-10008.53862,20027.07724,20061.15854
Estimate,0.832907926,0.944400438,0.1752884,1.186913518,1.836265894,-10065.92212,20141.84425,20175.92555
Estimate,0.545676397,0.854524421,0.27171291,1.336486115,2.033831264,-9991.775575,19993.55115,20027.63245
Estimate,0.835071939,0.917988748,0.208958736,1.37276065,1.902691471,-10055.91341,20121.82681,20155.90811
Estimate,0.802564143,0.899853417,0.244725784,1.182601373,1.87983713,-10084.44786,20178.89572,20212.97702
Estimate,0.653354174,0.918235084,0.201255667,1.226432836,2.029345205,-10009.72637,20029.45274,20063.53404
Estimate,0.51129169,0.905235413,0.284225048,1.253075353,1.87094012,-10035.36261,20080.72522,20114.80652
Estimate,0.586564076,0.922016417,0.190859325,1.310794241,2.872327885,-9995.660571,20001.32114,20035.40244
Estimate,0.814412481,0.945841131,0.209381966,1.382159925,1.931851927,-10040.93519,20091.87038,20125.95169
Estimate,0.79442723,0.902360892,0.278892941,1.294678462,1.89199681,-10055.60784,20121.21568,20155.29698
Estimate,0.611038202,0.91056277,0.109293455,1.230560323,1.893661714,-10068.43369,20146.86739,20180.94869
Estimate,0.204113852,0.900051902,0.354239193,1.372392594,2.624803514,-10064.28016,20138.56033,20172.64163
Estimate,0.751678104,0.926266607,0.259379102,1.294570818,1.855003377,-10043.96726,20097.93453,20132.01583
Estimate,-0.182205129,0.900059156,0.371743286,1.29560585,2.127642538,-10174.91876,20359.83753,20393.91883
Estimate,0.838314934,0.905264469,0.359933775,1.194174218,2.171459706,-10161.35581,20332.71163,20366.79293
Estimate,0.468755528,0.842278435,0.29738199,1.371110573,1.872683502,-9990.989544,19991.97909,20026.06039
Estimate,0.609346122,0.90963424,0.233297281,1.269664645,2.113067289,-10000.07948,20010.15896,20044.24027
Estimate,0.639509801,0.959040518,0.157519301,1.219971105,1.982923019,-10013.03245,20036.0649,20070.14621
Estimate,0.531937267,0.949494157,0.115097683,1.2741707,1.984331722,-10006.96485,20023.9297,20058.011
Estimate,0.758632818,0.839369361,0.268662667,1.215073509,1.875499008,-10087.70786,20185.41571,20219.49701
Estimate,0.36927427,0.810796137,0.330104442,1.326497758,1.919731932,-10007.95757,20025.91515,20059.99645
Estimate,0.776188883,0.975258982,0.105744621,1.122062881,1.978305757,-10098.26947,20206.53894,20240.62024
Estimate,0.979311925,0.927990422,0.288273228,1.326045103,1.883628999,-10100.56502,20211.13003,20245.21133
Estimate,0.876469456,0.952168985,0.211258594,1.236793213,1.891418239,-10060.56169,20131.12338,20165.20468
Estimate,0.89531387,0.898839759,0.204073087,1.244205572,1.951016415,-10099.61081,20209.22162,20243.30292
Estimate,0.625320152,0.914633966,0.199151259,1.283853989,2.140668362,-9995.725916,20001.45183,20035.53313
Estimate,0.685775173,0.933238702,0.152496437,1.327521553,1.804326451,-10016.18071,20042.36141,20076.44271
Estimate,0.256200103,0.959459917,0.251649079,1.2097555,1.972645757,-10097.74971,20205.49943,20239.58073
Estimate,0.779841152,0.9108586,0.256148941,1.412196741,2.202213258,-10061.0705,20132.141,20166.2223
Estimate,0.641935216,0.925693735,0.197414563,1.305523049,1.849999357,-9997.578479,20005.15696,20039.23826
Estimate,0.451275844,0.826234243,0.279611345,1.295710418,2.664263796,-9988.76172,19987.52344,20021.60474
Estimate,0.909425994,0.930066296,0.195711393,1.254769702,1.863299817,-10065.63871,20141.27743,20175.35873
Estimate,0.618501868,0.876167322,0.272006418,1.129441647,1.892852855,-10108.32364,20226.64728,20260.72858
Estimate,0.731617846,0.963248873,0.132440714,1.106704045,1.861013881,-10112.89302,20235.78603,20269.86733
Estimate,0.794518227,0.920200416,0.275880402,1.344621016,1.872553564,-10047.96917,20105.93834,20140.01964
Estimate,0.278758852,0.657674801,0.450675283,1.537729528,2.505718156,-10069.80848,20149.61696,20183.69826
Estimate,0.766161992,0.904746174,0.255784915,1.619129688,1.886387851,-10177.37143,20364.74287,20398.82417
Estimate,0.787177395,0.923484372,0.18201529,1.199846127,1.907700245,-10048.62227,20107.24454,20141.32584
Estimate,0.873534043,0.915892129,0.204498104,1.085181147,1.859674442,-10171.15459,20352.30918,20386.39048
Estimate,0.772160986,0.977454573,0.182822248,1.357095022,1.797241715,-10049.6899,20109.37979,20143.46109
Estimate,0.628424767,0.958287018,0.136549352,1.152242119,2.118189258,-10039.61294,20089.22588,20123.30719
Estimate,0.631736343,0.897376434,0.272782951,1.229947572,1.86666978,-10042.48399,20094.96799,20129.04929
Estimate,0.539767228,0.917954991,0.185492253,1.319358688,2.019174931,-9983.772131,19977.54426,20011.62556
Estimate,0.675556735,0.897586901,0.309110563,1.324406266,1.938701892,-10040.30815,20090.61631,20124.69761
Estimate,0.734770607,0.836905389,0.376287677,1.275151616,1.93897036,-10095.10865,20200.21731,20234.29861
Estimate,0.678256391,0.874907911,0.224204472,1.098230615,1.929454158,-10126.4052,20262.8104,20296.8917
Estimate,0.773611083,0.957098114,0.176634623,1.332080706,1.804877444,-10022.5278,20055.05561,20089.13691
Estimate,0.649170377,0.904484889,0.134554584,1.322460316,1.882377115,-10065.30176,20140.60351,20174.68481
Estimate,0.667128941,0.913636373,0.209264775,1.250965026,1.829814595,-10018.21403,20046.42807,20080.50937
Estimate,0.632682123,0.881046359,0.262023038,1.336255382,1.948373276,-10006.03757,20022.07513,20056.15643
Estimate,0.628345737,0.945598661,0.15496687,1.235421964,1.962329767,-10003.80726,20017.61453,20051.69583
Estimate,0.862905257,0.896844672,0.260711113,1.278166712,1.912547585,-10069.45755,20148.9151,20182.9964
Estimate,0.325383446,0.889611996,0.207484964,1.506098049,1.883887173,-10051.87525,20113.7505,20147.8318
Estimate,0.759499417,0.859110414,0.314192246,1.264312674,1.872024729,-10071.67255,20153.3451,20187.4264
Estimate,0.754898093,0.961032421,0.154731558,1.436321999,1.882556299,-10056.76537,20123.53073,20157.61203
Estimate,0.29761844,0.924326034,0.182311075,1.377402816,1.815849206,-10000.57446,20011.14893,20045.23023
Estimate,0.475932244,0.828754532,0.318632924,1.335370272,1.777992338,-10005.61514,20021.23027,20055.31157
Estimate,0.746839917,0.906977066,0.184518464,1.209069287,1.914835837,-10044.67325,20099.3465,20133.4278
Estimate,0.794420847,0.921471134,0.185244871,1.18082813,1.850658433,-10064.73902,20139.47804,20173.55934
Estimate,0.283101646,0.859921408,0.399135905,1.35794892,2.396268721,-10055.23438,20120.46876,20154.55006
Estimate,0.823784148,0.860760581,0.363407406,1.221487079,1.84919292,-10140.45039,20290.90078,20324.98208
Estimate,0.755032059,0.833342444,0.321786892,1.275150167,2.280582113,-10069.97566,20149.95131,20184.03261
Estimate,0.788226161,0.952247472,0.145541016,1.219394217,1.972759819,-10035.11115,20080.22231,20114.30361
Estimate,0.704362096,0.770750507,0.275714885,1.152978964,1.8631876,-10133.19972,20276.39943,20310.48073
Estimate,0.825851109,0.923441179,0.251429482,1.176243937,2.013883794,-10085.793,20181.586,20215.6673
Estimate,0.509270362,0.956531448,0.14661416,1.449861221,1.881420777,-10041.85153,20093.70307,20127.78437
Estimate,0.401203674,0.809267769,0.346205238,1.272469497,1.916214221,-10033.92277,20077.84554,20111.92684
Estimate,0.840639565,0.919524739,0.212488821,1.101820305,1.936576613,-10140.3647,20290.72939,20324.81069
Estimate,0.736700257,0.899806618,0.099990047,1.152677489,1.879785085,-10155.51332,20321.02663,20355.10793
Estimate,0.256290014,0.954384628,0.196176857,1.200330236,2.082867454,-10046.31068,20102.62136,20136.70267
Estimate,0.368682989,0.963583313,0.128516543,1.271150122,2.018378005,-10004.90692,20019.81384,20053.89514
Estimate,0.57018968,0.879477206,0.201647003,1.317362155,1.930334571,-10000.83824,20011.67648,20045.75778
Estimate,0.552044138,0.840269264,0.283876022,1.439509519,1.837224427,-10013.77411,20037.54822,20071.62952
Estimate,0.680573178,0.940702252,0.285885723,1.494207073,2.068449438,-10107.35936,20224.71872,20258.80002
Estimate,0.601614049,0.910750227,0.164437657,1.348247293,1.880665764,-10010.86628,20031.73256,20065.81386
Estimate,0.649081361,0.896545289,0.310220004,1.451785926,1.938837903,-10047.26382,20104.52764,20138.60894
Estimate,0.200003094,0.116538312,0.934654857,2.409008757,1.705046471,-10163.87677,20337.75355,20371.83485
Estimate,0.700616835,0.928307583,0.168611576,1.135888427,1.939392072,-10070.98826,20151.97652,20186.05782
Estimate,0.749514014,0.955018861,0.155425983,1.286559341,1.880069302,-10013.92956,20037.85913,20071.94043
Estimate,0.708888289,0.956919758,0.123383175,1.283266617,1.89034029,-10018.64763,20047.29525,20081.37656
Estimate,0.311997767,0.926404743,0.209988846,1.530111208,2.043351881,-10079.61801,20169.23601,20203.31731
Estimate,0.79023904,0.950194495,0.168572833,1.286444279,2.851722741,-10034.6786,20079.35721,20113.43851
Estimate,0.817765544,0.867787963,0.323206733,1.157097136,1.883198301,-10153.0872,20316.1744,20350.2557
Estimate,0.638493361,0.954816041,0.194412259,1.239850424,2.182014254,-10016.61448,20043.22897,20077.31027
Estimate,0.67673688,0.916142126,0.246832304,1.321264033,1.737438951,-10016.82413,20043.64826,20077.72956
Estimate,0.545752182,0.954333648,0.152875297,1.338486434,2.412604597,-10007.21997,20024.43994,20058.52124
Estimate,0.642562311,0.923641373,0.17193065,1.13290296,1.992022115,-10065.80957,20141.61915,20175.70045
Estimate,0.666648553,0.825949858,0.280647661,1.232654784,1.87224414,-10053.38369,20116.76737,20150.84867
Estimate,0.664465823,0.838754159,0.347711744,1.400583401,1.936542004,-10046.28294,20102.56589,20136.64719
Estimate,0.724229186,0.899740695,0.161696718,1.245769004,1.879806452,-10049.82096,20109.64191,20143.72322
Estimate,0.687429645,0.942693361,0.136185391,1.273041764,2.125004912,-10017.16464,20044.32929,20078.41059
Estimate,0.597859263,0.889252716,0.205569655,1.029187535,2.086553288,-10181.85296,20373.70592,20407.78722
Estimate,0.849240375,0.907093011,0.294418225,1.155142401,1.880837989,-10147.59334,20305.18669,20339.26799
Estimate,0.898131631,0.890437591,0.261594157,1.243698531,1.871478761,-10099.4843,20208.9686,20243.04991
Estimate,0.734688347,0.913825653,0.252034683,1.262593217,1.892408297,-10035.90988,20081.81975,20115.90105
Estimate,0.774314927,0.931544037,0.307344349,1.234419911,2.044334045,-10104.67991,20219.35981,20253.44111
Estimate,0.458189689,0.815196544,0.275952106,1.407740839,1.801750098,-10003.06224,20016.12448,20050.20578
Estimate,0.491328132,0.849965393,0.270559501,1.331757723,1.94049516,-9990.34267,19990.68534,20024.76664
Estimate,0.534451777,0.914005127,0.151866082,1.301625911,2.267447,-10003.89289,20017.78579,20051.86709
Estimate,0.59537318,0.899619749,0.099979881,1.338033321,1.879577499,-10124.78281,20259.56562,20293.64692
Estimate,0.550735578,0.900040197,0.431265834,1.361285958,2.027918174,-10143.68114,20297.36229,20331.44359
Estimate,0.74064016,0.884122732,0.181651888,1.178247337,2.019280711,-10076.99169,20163.98337,20198.06467
Estimate,0.566241949,0.908095384,0.251323763,1.518762295,3.478130402,-10172.3453,20354.69061,20388.77191
Estimate,0.956707939,0.903528444,0.287579301,1.174599556,2.017291557,-10141.92851,20293.85702,20327.93833
Estimate,-0.121835755,0.942446878,0.245225973,1.485985705,1.889796797,-10104.68652,20219.37304,20253.45435
Estimate,0.53939824,0.907791057,0.257168127,1.229730178,2.274515253,-10007.40844,20024.81688,20058.89818
Estimate,0.46455253,0.902112125,0.179695034,1.255248913,2.03454446,-9991.165989,19992.33198,20026.41328
Estimate,0.710869156,0.909729006,0.242457215,1.153505613,1.894112107,-10086.92954,20183.85908,20217.94038
Estimate,0.710784443,0.901292474,0.250792903,1.144583064,1.879933657,-10105.1757,20220.35141,20254.43271
Estimate,0.7710562,0.863047697,0.243403071,1.124877984,1.893333537,-10129.96441,20269.92882,20304.01012
Estimate,-0.07107772,0.90552274,0.262688439,1.617187084,1.870500348,-10190.06881,20390.13761,20424.21892
Estimate,0.932112372,0.977887956,0.223747626,1.309955965,1.914228217,-10080.15696,20170.31391,20204.39521
Estimate,0.624759128,0.974727096,0.123224675,1.105722407,1.817693237,-10120.66501,20251.33001,20285.41131
Estimate,0.77764157,0.89758413,0.310534308,1.214995269,1.879730802,-10099.24949,20208.49897,20242.58027
Estimate,0.640554961,0.94798292,0.197994038,1.293668007,1.917663091,-10008.67619,20027.35238,20061.43368
Estimate,0.561667079,0.966153817,0.19195411,1.300876339,2.142066498,-10022.66314,20055.32628,20089.40758
Estimate,0.775884839,0.876354999,0.306174295,1.247231704,1.902153582,-10075.21588,20160.43176,20194.51306
Estimate,0.649532714,0.900107469,0.349399825,1.381404049,2.091509578,-10064.41883,20138.83766,20172.91896
Estimate,0.360343897,0.608497378,0.473323962,1.408527517,2.031883008,-10044.02824,20098.05648,20132.13778
Estimate,0.583293163,0.898743157,0.223625973,1.230396657,1.878376384,-10013.50355,20037.00709,20071.0884
Estimate,0.509147063,0.900010902,0.099985803,1.35538341,1.891118596,-10112.0376,20234.0752,20268.15651
Estimate,0.601532654,0.94490141,0.234736209,1.321679824,1.883596151,-10020.32687,20050.65374,20084.73504
Estimate,0.815310148,0.901888863,0.279335753,1.358645392,1.888234597,-10058.94547,20127.89094,20161.97224
Estimate,0.618433182,0.727934512,0.261300895,1.255724568,1.842132451,-10093.07341,20196.14682,20230.22813
Estimate,0.631605088,0.950807994,0.178195039,1.346746097,1.898204899,-10002.1945,20014.389,20048.4703
Estimate,0.817410643,0.948638597,0.142145482,1.299571908,1.970172681,-10037.18586,20084.37171,20118.45301
Estimate,0.714440077,0.970822411,0.132410599,1.321317373,1.893356664,-10020.49928,20050.99856,20085.07986
Estimate,1.022620472,0.943115773,0.264543181,1.125260465,2.156736161,-10169.78095,20349.56189,20383.64319
Estimate,0.609027395,0.893874788,0.315726579,1.287037292,1.881010495,-10045.48312,20100.96624,20135.04754
Estimate,0.706318194,0.907297311,0.143984795,1.087310583,1.785617125,-10145.90133,20301.80267,20335.88397
Estimate,0.750350083,0.911886447,0.246549374,1.179843112,1.918076616,-10074.14496,20158.28992,20192.37122
Estimate,0.824342883,0.901989054,0.268149009,1.125269434,1.883007308,-10151.05285,20312.1057,20346.187
Estimate,0.662536816,0.912327498,0.223038093,1.361047845,1.861231853,-10006.00368,20022.00735,20056.08866
Estimate,1.144110729,0.920767098,0.233564283,1.134459974,2.600703497,-10188.45528,20386.91057,20420.99187
Estimate,0.592712054,0.899802285,0.234768408,1.29430298,1.949321836,-9995.175912,20000.35182,20034.43313
Estimate,0.700876226,0.888222797,0.203128028,1.456924401,1.828810012,-10080.8624,20171.7248,20205.8061
Estimate,0.56098001,0.959264609,0.131451259,1.295217152,1.883815496,-10002.91007,20015.82013,20049.90143
Estimate,0.398428731,0.9022723,0.136095971,1.34416897,1.864211202,-10033.95626,20077.91252,20111.99382
Estimate,0.743707774,0.899755309,0.322278943,1.282716899,1.933108618,-10073.35471,20156.70943,20190.79073
Estimate,0.866714648,0.919494847,0.204889888,1.180853893,1.879804821,-10088.57212,20187.14424,20221.22554
Estimate,0.469789528,0.900014774,0.329765707,1.421912194,1.879384013,-10036.97459,20083.94917,20118.03048
Estimate,0.675920621,0.914800578,0.19175432,1.23205174,1.900872796,-10018.07176,20046.14351,20080.22481
Estimate,0.55415646,0.901723853,0.22626094,1.23226118,2.028876841,-10003.24208,20016.48415,20050.56545
Estimate,0.675943845,0.936110991,0.192003855,1.266733949,2.235324222,-10001.81295,20013.6259,20047.7072
Estimate,0.669706012,0.941883978,0.128710166,1.208938004,1.889617624,-10034.89489,20079.78977,20113.87107
Estimate,0.604107218,0.865177989,0.28203052,1.329508157,2.015852454,-10003.91432,20017.82864,20051.90994
Estimate,0.58283609,0.935163269,0.180031972,1.301494713,1.943747002,-9983.239946,19976.47989,20010.56119
Estimate,0.624174781,0.899037997,0.18614788,1.351278162,1.887647486,-10011.14496,20032.28992,20066.37122
Estimate,0.570416617,0.908645553,0.185518253,1.257907091,2.1125504,-9990.660481,19991.32096,20025.40226
Estimate,0.680707732,0.950958209,0.178457587,1.357903127,1.98261386,-10016.79116,20043.58232,20077.66362
