"miu","be","sig","a","LogL","AIC","BIC"
0.397979314,0.901055334,0.280605326,0.824001002,-10035.08551,20078.17102,20105.43606
0.365433502,0.899923913,0.230979044,0.79845652,-10035.1069,20078.2138,20105.47884
0.520724732,0.869054245,0.260729058,0.813531508,-10035.16478,20078.32956,20105.5946
0.328885158,0.901301976,0.244833573,0.810560652,-10035.70207,20079.40414,20106.66918
0.533705728,0.893657174,0.238918985,0.876094004,-10035.71702,20079.43404,20106.69908
0.503867043,0.90841741,0.188090456,0.819092095,-10035.92614,20079.85229,20107.11733
0.508709339,0.895343315,0.250629625,0.898143864,-10036.23155,20080.46309,20107.72814
0.551277242,0.900005225,0.242762696,0.860490755,-10036.4563,20080.9126,20108.17764
0.465067055,0.868356302,0.328051848,0.872281437,-10036.46217,20080.92434,20108.18938
0.538744815,0.932446926,0.205691248,0.805593675,-10036.79088,20081.58176,20108.8468
0.287332079,0.890215244,0.226400675,0.837316854,-10036.79861,20081.59722,20108.86226
0.341831728,0.899770274,0.235695401,0.801099089,-10036.81183,20081.62366,20108.8887
0.55998377,0.893298082,0.232724319,0.826703967,-10037.06586,20082.13173,20109.39677
0.445441749,0.907225282,0.211020753,0.800516319,-10037.11703,20082.23405,20109.49909
0.528878437,0.90227903,0.232707677,0.904562521,-10037.14319,20082.28637,20109.55141
0.501883009,0.902965289,0.215791439,0.808795701,-10037.18454,20082.36907,20109.63411
0.479457431,0.898204417,0.244453086,0.803798812,-10037.20088,20082.40176,20109.6668
0.378685879,0.899998374,0.203230451,0.799944323,-10037.21973,20082.43945,20109.70449
0.459462461,0.909708493,0.277045518,0.84772392,-10037.33538,20082.67075,20109.93579
0.560254766,0.91554774,0.249023772,0.850211184,-10037.40829,20082.81658,20110.08162
0.499021927,0.917886548,0.227444241,0.799979085,-10037.41996,20082.83992,20110.10497
0.400037299,0.940932602,0.175031513,0.778757834,-10037.43335,20082.8667,20110.13174
0.48353701,0.886420816,0.228103373,0.819854085,-10037.487,20082.974,20110.23905
0.468325036,0.870178539,0.255723302,0.931035283,-10037.56813,20083.13626,20110.4013
0.323542184,0.892896837,0.251748717,0.808961693,-10037.63446,20083.26892,20110.53396
0.310896311,0.899865364,0.23741963,0.800329294,-10037.63881,20083.27761,20110.54266
0.25922555,0.826068878,0.358702637,0.886937925,-10037.68374,20083.36747,20110.63252
0.536648399,0.913033815,0.220243365,0.818778544,-10037.6847,20083.36941,20110.63445
0.566120751,0.86810917,0.26714349,0.877790933,-10037.91785,20083.8357,20111.10074
0.502918412,0.898745617,0.21778232,0.817677745,-10037.91852,20083.83703,20111.10208
0.547375661,0.898054698,0.22070172,0.815800062,-10037.95074,20083.90148,20111.16652
0.562960941,0.920231245,0.210054766,0.857445068,-10037.95693,20083.91385,20111.17889
0.58249837,0.881273788,0.272243064,0.885889071,-10038.1387,20084.27741,20111.54245
0.456073717,0.900005228,0.198416192,0.799938864,-10038.27374,20084.54748,20111.81252
0.570767754,0.904034827,0.227844108,0.844840724,-10038.39356,20084.78711,20112.05215
0.46944827,0.899387703,0.276957081,0.82600549,-10038.39815,20084.7963,20112.06134
0.515880068,0.901191622,0.250132066,0.800935252,-10038.47599,20084.95199,20112.21703
0.449171731,0.799517197,0.398209674,0.959867507,-10038.70483,20085.40967,20112.67471
0.492196114,0.782200772,0.38296361,0.938373727,-10038.70722,20085.41444,20112.67949
0.489905644,0.853533095,0.256740956,0.834331036,-10038.83605,20085.67209,20112.93713
