"x_i_ordered","Emp_pdf","Emp_cdf","Emp_sur","Emp_haz"
0,0,0,1,0
0.00832759208395135,0.0378007591155053,0.000157394651188817,0.999842605348811,0.0378067096893894
0.0166551841679027,0.187072283463325,0.00109372013582558,0.998906279864174,0.187277112211931
0.024982776251854,0.272069302680363,0.0030054920549171,0.996994507945083,0.272889469813759
0.0333103683358054,0.283585402547407,0.00531912491724965,0.99468087508275,0.285101895141811
0.0416379604197567,0.217439424486646,0.00740529010898558,0.992594709891014,0.219061639478736
0.0499655525037081,0.291560940511938,0.00952466381413086,0.990475336185869,0.294364664984677
0.0582931445876594,0.31083440137964,0.0120329151544036,0.987967084845596,0.314620199546646
0.0666207366716108,0.314833412635085,0.0146380683219897,0.98536193167801,0.319510428111367
0.0749483287555621,0.328497761953023,0.0173167681204192,0.982683231879581,0.334286524177995
0.0832759208395135,0.347852148054457,0.020132951198699,0.979867048801301,0.354999332286962
0.0916035129234648,0.377747671874971,0.0231542008569794,0.976845799143021,0.386701434562513
0.0999311050074162,0.413543645484143,0.026448976512249,0.973551023487751,0.424778604826094
0.108258697091368,0.449167965639118,0.0300411317040105,0.96995886829599,0.46307939472548
0.116586289175319,0.481223743454928,0.0339150930198232,0.966084906980177,0.498117442864473
0.12491388125927,0.505873577491712,0.0380251649378257,0.961974835062174,0.525869865877538
0.133241473343222,0.51959987583234,0.0422950272439275,0.957704972756073,0.542546912267816
0.141569065427173,0.522710807695638,0.0466349963425102,0.95336500365749,0.548279835834449
0.149896657511124,0.519786245220952,0.0509757414452156,0.949024258554784,0.547705962766963
0.158224249595076,0.516612658458172,0.0552910950982627,0.944708904901737,0.546848511512556
0.166551841679027,0.517326315891392,0.0595962061073038,0.940403793892696,0.550110834570305
0.174879433762978,0.523979174193771,0.0639319897854079,0.936068010214592,0.55976613715669
0.18320702584693,0.537690890045262,0.0683525673967705,0.93164743260323,0.577139882780372
0.191534617930881,0.559607254664391,0.0729214930685798,0.92707850693142,0.60362445087489
0.199862210014832,0.590791884994449,0.0777115204529835,0.922288479547017,0.640571684560798
0.208189802098784,0.631311908027193,0.0828001113892505,0.91719988861075,0.688303515805502
0.216517394182735,0.679289339315513,0.0882571876755444,0.911742812324456,0.745044907547655
0.224844986266686,0.730585145774199,0.0941276174762434,0.905872382523757,0.806498972558134
0.233172578350638,0.779366890040689,0.100414749786543,0.899585250213457,0.866362459650997
0.241500170434589,0.819368345596352,0.107071557232855,0.892928442767145,0.917619269756003
0.24982776251854,0.845368444469421,0.114003181690262,0.885996818309738,0.954143882911651
0.258155354602492,0.854374731353355,0.121080565598128,0.878919434401872,0.972074001224902
0.266482946686443,0.846162223078165,0.128161254638224,0.871838745361776,0.970549000695126
0.274810538770395,0.823085483357741,0.135111661631358,0.864888338368642,0.951666760717633
0.283138130854346,0.789326015549946,0.141825414248546,0.858174585751454,0.91977323572077
0.291465722938297,0.749873444251092,0.148234326867077,0.851765673132923,0.880375281493729
0.299793315022249,0.709546171903429,0.154311052488403,0.845688947511597,0.83901554347049
0.3081209071062,0.672268597647368,0.160064647356602,0.839935352643398,0.800381357364756
0.316448499190151,0.640695463598476,0.165531561918074,0.834468438081926,0.767788731556044
0.324776091274103,0.616161596387477,0.170764858369772,0.829235141630227,0.743048099934766
0.333103683358054,0.598866395169955,0.175823987111909,0.824176012888091,0.726624393097049
0.341431275442005,0.58818121358698,0.180766611246888,0.819233388753112,0.717965382834557
0.349758867525957,0.582982021192675,0.185643096088371,0.814356903911629,0.715880246600006
0.358086459609908,0.581941405911004,0.19049359964335,0.80950640035665,0.718884255460629
0.366414051693859,0.583747596168407,0.195347290896383,0.804652709103617,0.725465271618486
0.374741643777811,0.587244489356538,0.200223063107276,0.799776936892724,0.734260344688217
0.383069235861762,0.591502634748836,0.205131125717116,0.794868874282884,0.744151210201153
0.391396827945713,0.595837889071768,0.210074969490678,0.789925030509322,0.754296757361376
0.399724420029665,0.599795023529102,0.215053341079821,0.784946658920179,0.764122016079687
0.408052012113616,0.603110959780444,0.220061996251994,0.779938003748006,0.773280641387115
0.416379604197567,0.6056687709368,0.225095108510375,0.774904891489625,0.781604010490246
0.424707196281519,0.607450314718809,0.230146288957673,0.769853711042327,0.789046420126188
0.43303478836547,0.608492788492525,0.235209228038092,0.764790771961908,0.795633015983662
0.441362380449421,0.608852573555686,0.240278005838306,0.759721994161694,0.801414962623949
0.449689972533373,0.608578268909005,0.24534713956154,0.75465286043846,0.806434720933033
0.458017564617324,0.607693619375791,0.250411447635946,0.749588552364054,0.810702908227781
0.466345156701276,0.606190023866144,0.255465811545096,0.744534188454904,0.814186955100263
0.474672748785227,0.604027457187186,0.260504910302636,0.739495089697364,0.816810639587049
0.483000340869178,0.601141992508312,0.265522990087188,0.734477009912812,0.818462639939774
0.49132793295313,0.59745771811632,0.2705137148182,0.7294862851818,0.81901158425127
0.499655525037081,0.592900725151002,0.275470124592808,0.724529875407192,0.818324744466592
0.507983117121032,0.587412989803471,0.280384710167425,0.719615289832575,0.816287533218115
0.516310709204984,0.580964336055833,0.285249595052373,0.714750404947627,0.812821275838804
0.524638301288935,0.573561171354614,0.290056803790488,0.709943196209512,0.807897271805602
0.532965893372886,0.5652512562446,0.294798586469078,0.705201413530921,0.801545835556972
0.541293485456838,0.556124323328597,0.299467765668874,0.700532234331126,0.793859719902237
0.549621077540789,0.546308839609572,0.304058072509258,0.695941927490742,0.784991991471645
0.55794866962474,0.535965568955611,0.308564442407974,0.691435557592026,0.775148982534467
