Index,ObsDur,fphi,fTaR_0.5,fTaR_0.25,fTaR_0.1,fTaR_0.05,fTaR_0.025,fTaR_0.01
1454,0.932056025,2.589733928,1.726219947,3.371584006,5.807949251,7.857282258,10.08290403,13.29150454
1455,2.617904121,2.179794572,1.411492143,2.821617456,4.95186065,6.768105591,8.758505574,11.65302378
1456,3.124788306,2.425197245,1.615619406,3.158779638,5.443012127,7.363331148,9.447772085,12.45103595
1457,4.102874489,2.670621977,1.823163547,3.491837561,5.920806244,7.940296047,10.11648331,13.2303718
1458,3.096519557,2.733841783,1.892369453,3.583296741,6.019083333,8.029668949,10.18568808,13.25610501
1459,3.321690616,2.482598766,1.6689918,3.237479546,5.545754954,7.479164303,9.572917154,12.58310027
1460,0.07949394,2.794145004,1.999985291,3.677978244,6.036027517,7.950279418,9.980415312,12.84113839
1461,0.658109869,2.501795628,1.64841152,3.250610313,5.641573875,7.663065776,9.865863149,13.05171642
1462,0.795951778,2.307567244,1.577534847,3.018142421,5.11271317,6.852721606,8.726644733,11.40646803
1463,0.232727082,1.923976205,1.287410643,2.50769591,4.308675293,5.81981532,7.45804925,9.815631302
1464,0.1081715,1.826309356,1.215809536,2.37803199,4.099615758,5.54775872,7.120344076,9.387134492
1465,1.182685403,1.281536909,0.883106687,1.679646398,2.82981625,3.780413579,4.800464441,6.253905213
1466,0.398836703,1.37657209,0.943565465,1.801535768,3.046310716,4.078779068,5.189513997,6.776243257
1467,0.188523148,1.464540409,0.993304415,1.9128212,3.257549427,4.37910543,5.590223483,7.32669088
1468,10.08950608,1.353565428,0.935488335,1.774449894,2.98366031,3.981942478,5.052431412,6.576807274
1469,2.626997443,2.012897531,1.370579045,2.631670053,4.469882154,5.999327197,7.648096285,10.0080376
1470,1.764113459,2.239380483,1.541553309,2.931522596,4.943003782,6.608900561,8.399469924,10.95535763
1471,9.602450613,2.179483258,1.482018195,2.847483797,4.841046425,6.501993755,8.294367241,10.86262197
1472,5.171415439,3.170690685,2.215483437,4.164124841,6.949402772,9.235628287,11.6776929,15.14209382
1473,0.173785744,3.073781083,2.103865424,4.022472071,6.808282327,9.119970265,11.60751208,15.16178798
1474,2.830645914,2.614678589,1.746781425,3.406276569,5.858899579,7.918986958,10.15403187,13.37295081
1475,7.046114895,3.007542561,2.054364309,3.931133088,6.663404592,8.935804421,11.38532247,14.89168862
1476,0.383438949,3.000694859,2.086617806,3.934932068,6.589262225,8.775933979,11.11782613,14.44905068
1477,2.639135728,2.89399778,1.984036245,3.788115859,6.404626391,8.574165777,10.9075652,14.2399928
1478,0.251347423,2.592258698,1.748736092,3.384064807,5.783351393,7.788331735,9.955968865,13.06711413
1479,0.129158517,2.267738943,1.573989922,2.973733344,4.985912865,6.644469349,8.421277568,10.94928252
1480,2.148702529,1.944217511,1.30249652,2.535104043,4.352282504,5.875726817,7.526284911,9.900114459
1481,0.592554742,2.14491204,1.43863202,2.797131384,4.798501018,6.475652949,8.292274336,10.90433402
1482,3.150829137,1.910103274,1.286917979,2.492295708,4.263046306,5.744300816,7.346936865,9.648948378
1483,2.672144101,2.151825242,1.426203633,2.798287715,4.838258193,6.558945076,8.431158111,11.13516174
1484,0.423677344,2.297751757,1.506747671,2.982904571,5.192834291,7.06522781,9.108400149,12.06730347
1485,2.959193963,1.947297243,1.328772043,2.547303049,4.32025634,5.793435571,7.380053497,9.648899192
1486,0.69545703,2.225285633,1.531295546,2.9156127,4.916856577,6.572268635,8.349695428,10.88380949
1487,2.186437668,1.857001918,1.298861427,2.438763116,4.067251878,5.403624344,6.830916967,8.855555535
1488,0.193528255,2.202358189,1.456157831,2.863494953,4.958599141,6.727055309,8.652014669,11.43311062
1489,0.131803207,1.822506059,1.17069561,2.355277383,4.154379848,5.693768771,7.384753511,9.849394896
1490,0.372974569,1.697290032,1.121268202,2.206415351,3.82285588,5.187847941,6.674059013,8.821861415
1491,1.898431397,1.587340855,1.090798949,2.078257775,3.508222759,4.69278024,5.966039112,7.783433159
1492,0.605317259,1.513828751,1.115738415,2.000172414,3.213423285,4.181870005,5.19723732,6.612133334
1493,2.838395125,1.554211438,1.030198213,2.021713536,3.495243179,4.73760061,6.088868091,8.039692079
1494,0.723529183,1.823144256,1.242093612,2.383912636,4.0474849,5.431151546,6.922412468,9.056400437
1495,3.784961674,1.644968349,1.095679644,2.140944179,3.689851639,4.993474393,6.409859741,8.452739982
1496,0.653591252,2.056909237,1.370127452,2.677126372,4.613805036,6.243743928,8.014634484,10.56877057
1497,0.18971936,1.905083555,1.315210402,2.496207237,4.200560736,5.609085151,7.120674241,9.274933604
1498,3.7686871,1.571173983,1.073190358,2.055672547,3.484101501,4.670390036,5.947573376,7.773302223
1499,0.332121785,1.884716415,1.223629899,2.439719472,4.274826431,5.838745302,7.55235994,10.04425429
1500,3.081614056,1.714154598,1.16892325,2.241867689,3.803932062,5.102477274,6.501479135,8.502711646
1501,1.38822914,1.820389925,1.277186375,2.390582779,3.978610496,5.280674911,6.670708968,8.64183146
1502,0.988649776,1.943914226,1.306473147,2.536704541,4.345757058,5.859596114,7.497638754,9.85046588
1503,0.555094856,1.91118531,1.303371905,2.499539143,4.240957099,5.688589574,7.248212754,9.479217863
1504,0.751487043,1.672656564,1.155294647,2.191946201,3.687352451,4.922802073,6.248349126,8.137033253
1505,0.103614939,1.559248289,1.131900264,2.057627082,3.342611936,4.376515509,5.466244364,6.992436581
1506,1.535388555,1.362967431,0.925152552,1.78087754,3.031138204,4.073084942,5.197565734,6.808808884
1507,0.577086005,1.525943354,1.039819596,1.994657807,3.386289345,4.544269989,5.792771948,7.580149274
1508,0.538824185,1.297918881,1.003819016,1.71882103,2.661114748,3.39300608,4.146504595,5.178276811
1509,1.131244308,1.364205619,0.946669662,1.790529696,3.00220559,3.999643046,5.067008523,6.583745568
1510,1.078918108,1.473942505,0.992949123,1.924038061,3.29109562,4.433938133,5.669761955,7.443808931
1511,0.552690262,1.546819898,1.006190371,2.004445782,3.507532678,4.786118185,6.185097115,8.21641467
1512,0.62012591,1.46701758,1.021810949,1.924874618,3.21955921,4.284717661,5.424371125,7.04384557
1513,0.407945604,1.379147202,0.941100698,1.804095441,3.059733801,4.103060556,5.226722334,6.833541101
1514,0.824230382,1.177686036,0.835961934,1.550771003,2.559708272,3.380596892,4.252176414,5.481381432
1515,1.119750862,1.270286158,0.860664394,1.659424231,2.827826297,3.802272943,4.854397868,6.362610774
1516,0.659119328,1.381595789,0.923364384,1.800228593,3.095597679,4.183243305,5.362928758,7.061417544
1517,0.065405615,1.409339451,0.945591292,1.837043398,3.150967734,4.25271169,5.446728062,7.164640142
1518,1.559055568,1.100567286,0.749075426,1.439288115,2.445175035,3.281832045,4.183486547,5.473590658
1519,3.862624436,1.234106115,0.84021758,1.613722302,2.741027165,3.678784857,4.689520643,6.13592281
1520,0.768848377,1.857200521,1.191105665,2.399348699,4.23628262,5.809117966,7.537623432,10.05803404
1521,4.852831222,1.755286245,1.17788856,2.290135338,3.927263948,5.298054033,6.781866776,8.913891726
1522,5.23632923,2.592950467,1.853734886,3.414498915,5.608153224,7.388620402,9.276378231,11.93553786
1523,0.968010381,2.380173862,1.576296861,3.097108214,5.357142388,7.262034421,9.333225113,12.32216023
1524,4.278190633,2.592285581,1.720216736,3.373330965,5.827595542,7.895210571,10.14280541,13.38578264
1525,1,2.651191854,1.875310729,3.486510608,5.769519511,7.632780863,9.615635567,12.41869445
1526,1,2.309597308,1.557882025,3.012802594,5.149707862,6.937464107,8.872103636,11.65177816
1527,0.619660587,2.102307338,1.434679609,2.748546188,4.661594106,6.252464671,7.967020023,10.42070998
1528,0.593427381,2.118823065,1.545089459,2.797557887,4.529681036,5.919790301,7.382423021,9.427437432
1529,0.375130087,2.028392161,1.34186195,2.637998033,4.56641759,6.193382044,7.96367501,10.52033132
1530,1.47535923,1.768383383,1.21119787,2.316059447,3.917964767,5.245401444,6.672235645,8.708498448
1531,6.350093406,1.903658107,1.246432806,2.470528763,4.305034492,5.860458989,7.55856854,10.01889505
1532,2.574682407,1.985590671,1.39217422,2.607291848,4.341254167,5.763447004,7.282062557,9.435977513
1533,1.179536559,2.024108785,1.389018245,2.650361518,4.477976137,5.992251364,7.620005551,9.943370521
1534,0.163066919,1.933184256,1.319730445,2.528479007,4.287160922,5.748636942,7.322852381,9.574333469
1535,2.66908895,2.016887614,1.391396143,2.643256805,4.450018697,5.942990331,7.544937691,9.82746624
1536,1.015219224,2.102398493,1.365540606,2.722195651,4.76837284,6.51140454,8.420629663,11.19598189
1537,2.380337545,1.854257255,1.256763501,2.422666131,4.127463391,5.54882011,7.08312205,9.281997871
1538,1.038634626,1.947280426,1.33400603,2.548695917,4.311251718,5.773164528,7.345799216,9.592151171
1539,0.641661923,1.883397648,1.272047275,2.459221087,4.199495508,5.652912313,7.223617472,9.477142173
1540,0.560086338,1.741538181,1.186960008,2.274754119,3.86166704,5.183571394,6.610140714,8.654583234
1541,1.200457011,1.817231915,1.193442215,2.35984942,4.104205267,5.581060776,7.191828346,9.523420979
1542,0.741304829,1.663253552,1.130739023,2.172791879,3.694571077,4.96272435,6.331447883,8.293000545
1543,0.17058286,1.822371214,1.214020372,2.373788938,4.090341305,5.533259934,7.099350327,9.355534989
1544,0.934788738,1.699993611,1.071935471,2.18692568,3.90245033,5.383608947,7.020657408,9.421018394
1545,0.578006149,1.469859905,1.126151009,1.947243098,3.037265919,3.887887668,4.766255756,5.97237677
1546,0.66071895,1.669623985,1.158553238,2.188214388,3.669721205,4.891955219,6.202286786,8.068084738
1547,0.285985694,1.456855642,1.043933161,1.919756594,3.147822689,4.142755181,5.196244572,6.678224182
1548,0.153665364,1.482639715,1.020101907,1.94223328,3.275753104,4.379169955,5.564208756,7.254194318
